url,designation,ancient_author,ancient_recipient,date,provenience,ruler,genre,dialect,script,sender_loc
http://oracc.org/saao/saa15/P313692,SAA 15 210,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Assyria
http://oracc.org/saao/saa15/P313700,SAA 15 133,Nabu-duru-uṣur,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der
http://oracc.org/saao/saa15/P313701,SAA 15 063,Aššur-belu-uṣur,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Kisheshim
http://oracc.org/saao/saa15/P313702,SAA 15 049,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Diyala region
http://oracc.org/saao/saa15/P313706,SAA 15 350,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313710,SAA 15 311,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313714,SAA 15 339,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313716,SAA 15 322,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313718,SAA 15 376,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313721,SAA 15 120,Šamaš-belu-uṣur,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der
http://oracc.org/saao/saa15/P313723,SAA 15 290,Nadin-...,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313725,SAA 15 058,Nabu-remanni,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Parsua
http://oracc.org/saao/saa15/P313728,SAA 15 207,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Assyria
http://oracc.org/saao/saa15/P313729,SAA 15 247,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
http://oracc.org/saao/saa15/P313730,SAA 15 109,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Kar-Sharrukin
http://oracc.org/saao/saa15/P313733,SAA 15 377,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313735,SAA 15 096,Mannu-ki-Ninua,the king,707,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Kar-Sharrukin
http://oracc.org/saao/saa15/P313737,SAA 15 038,Nabu-belu-ka’’in,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Diyala region
http://oracc.org/saao/saa15/P313740,SAA 15 309,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313747,SAA 15 190,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Northern Babylonia
http://oracc.org/saao/saa15/P313753,SAA 15 352,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313754,SAA 15 124,Šamaš-belu-uṣur,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der
http://oracc.org/saao/saa15/P313756,SAA 15 286,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Arzuhina
http://oracc.org/saao/saa15/P313757,SAA 15 235,Šarru-emuranni,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Babylon
http://oracc.org/saao/saa15/P313766,SAA 15 333,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313769,SAA 15 358,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313770,SAA 15 029,Nabu-belu-ka’’in,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Diyala region
http://oracc.org/saao/saa15/P313772,SAA 15 354,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313773,SAA 15 222,Šarru-emuranni,the king,710-709,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Babylon
http://oracc.org/saao/saa15/P313774,SAA 15 355,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313776,SAA 15 306,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313777,SAA 15 283,unknown,the king,717-706,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Arzuhina
http://oracc.org/saao/saa15/P313778,SAA 15 173,Il-yada’,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Dur-Kurigalzu
http://oracc.org/saao/saa15/P313781,SAA 15 246,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
http://oracc.org/saao/saa15/P313782,SAA 15 366,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313783,SAA 15 198,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Assyria
http://oracc.org/saao/saa15/P313785,SAA 15 262,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
http://oracc.org/saao/saa15/P313788,SAA 15 140,Nabu-balliṭanni,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Lahiru
http://oracc.org/saao/saa15/P313796,SAA 15 111,Šamaš-belu-uṣur,the king,707,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der
http://oracc.org/saao/saa15/P313798,SAA 15 331,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313802,SAA 15 134,Nabu-duru-uṣur,the king,707,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der
http://oracc.org/saao/saa15/P313806,SAA 15 107,unknown,the king,717-706,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Kar-Sharrukin
http://oracc.org/saao/saa15/P313809,SAA 15 345,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313810,SAA 15 244,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
http://oracc.org/saao/saa15/P313814,SAA 15 129,Nabu-duru-uṣur,the king,707,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der
http://oracc.org/saao/saa15/P313821,SAA 15 208,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Assyria
http://oracc.org/saao/saa15/P313823,SAA 15 269,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
http://oracc.org/saao/saa15/P313829,SAA 15 364,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313835,SAA 15 057,Nabu-remanni,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Parsua
http://oracc.org/saao/saa15/P313844,SAA 15 342,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313848,SAA 15 183,Aššur-belu-taqqin,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Northern Babylonia
http://oracc.org/saao/saa15/P313849,SAA 15 139,Nabu-šumu-iddina,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Lahiru
http://oracc.org/saao/saa15/P313852,SAA 15 361,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313856,SAA 15 359,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313859,SAA 15 229,Šarru-emuranni,the king,707-706,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Babylon
http://oracc.org/saao/saa15/P313860,SAA 15 315,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313863,SAA 15 279,the king,,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Royal Court
http://oracc.org/saao/saa15/P313866,SAA 15 369,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313870,SAA 15 147,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der region
http://oracc.org/saao/saa15/P313872,SAA 15 266,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
http://oracc.org/saao/saa15/P313877,SAA 15 284,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Arzuhina
http://oracc.org/saao/saa15/P313880,SAA 15 282,unknown,the king,717-706,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Arzuhina
http://oracc.org/saao/saa15/P313884,SAA 15 338,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313887,SAA 15 330,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313889,SAA 15 344,unknown,the king,717-706,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313892,SAA 15 050,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Diyala region
http://oracc.org/saao/saa15/P313894,SAA 15 010,Issar-duri,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Arrapha
http://oracc.org/saao/saa15/P313895,SAA 15 252,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
http://oracc.org/saao/saa15/P313902,SAA 15 167,Il-yada’,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Dur-Kurigalzu
http://oracc.org/saao/saa15/P313903,SAA 15 126,Šamaš-belu-uṣur,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der
http://oracc.org/saao/saa15/P313910,SAA 15 267,unknown,the king,709,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
http://oracc.org/saao/saa15/P313911,SAA 15 185,Marduk-šarru-uṣur,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Northern Babylonia
http://oracc.org/saao/saa15/P313912,SAA 15 323,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313916,SAA 15 020,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Arrapha
http://oracc.org/saao/saa15/P313917,SAA 15 193,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Assyria
http://oracc.org/saao/saa15/P313920,SAA 15 149,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der region
http://oracc.org/saao/saa15/P313924,SAA 15 249,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
http://oracc.org/saao/saa15/P313931,SAA 15 312,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313934,SAA 15 287,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Arzuhina
http://oracc.org/saao/saa15/P313937,SAA 15 285,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Arzuhina
http://oracc.org/saao/saa15/P313939,SAA 15 334,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313942,SAA 15 174,Il-yada’,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Dur-Kurigalzu
http://oracc.org/saao/saa15/P313946,SAA 15 362,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313949,SAA 15 056,Nabu-remanni,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Parsua
