0	1	a-de-e	adê	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	0	ROOT	_	_
97	100	KI.TIM	ki.tim	ADJ	N	Case=Nom|Gender=Masc|Number=Sing	98	conj	_	_
98	101	ar-rat	ar-rat	VERB	N	Gender=Masc|Mood=Imp|Number=Sing|Person=2|VerbStem=G	103	dep	_	_
99	102	la	lā	PART	MOD	_	103	advmod	_	_
100	103	nap-šu-ri	nap-šu-ri	VERB	V	Gender=Masc|Mood=Proh|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|VerbStem=G	_	_	_	_
101	104	GIG-tu₂	gig-tu₂	NOUN	N	Case=Acc|Gender=Fem|NounBase=Free|Number=Sing	105	obj	_	_
102	105	li-ri-im-šu₂-nu	li-ri-im-šu₂-nu	NOUN	N	Gender=Masc|Number=Plur|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	_	_	_	_
103	106	e-liš	e-liš	ADV	V	_	109	discourse	_	_
104	107	i-na	ina	ADP	PRP	_	108	case	_	_
105	108	TI.LA-MEŠ	ti.la-meš	NOUN	N	Gender=Fem|NounBase=Free|Number=Plur	109	iobj	_	_
106	109	li-su-uh-šu₂-nu	li-su-uh-šu₂-nu	VERB	N	Gender=Masc|Mood=Prec|Number=Sing|Person=3|Ventive=Yes|VerbStem=G|VerbSuffGen=Masc|VerbSuffNum=Plur|VerbSuffPer=3	105	conj	_	_
107	110	šap-liš	šapliš	ADV	AV	_	105	conj	_	_
108	111	i-na	ina	ADP	PRP	_	112	case	_	_
109	112	KI.TIM	ki.tim	NOUN	N	Case=Gen|Gender=Fem|NounBase=Bound|Number=Sing	_	_	_	_
110	113	e-ṭim₂-ma-šu₂-nu	e-ṭim₂-ma-šu₂-nu	NOUN	ADJ	Case=Gen|Gender=Fem|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	112	nmod	_	_
111	114	A-MEŠ	a-meš	NOUN	NOUN	Case=Acc|Gender=Masc|Number=Plur	115	obj	_	_
112	115	lu-u-za-am-me	lu-u-za-am-me	NOUN	VERB	Gender=Masc|Number=Plur	112	conj	_	_
113	116	{d}30	Sin	PROPN	DN	Case=Nom|Gender=Masc|Number=Sing	124	nsubj	_	_
114	117	{d}ŠEŠ.KI	{d}šeš.ki	PROPN	DN	Gender=Masc	116	conj	_	_
115	118	AN-e	an-e	NOUN	N	Gender=Masc|Number=Plur	117	nmod:poss	_	_
116	119	u	u	CCONJ	CNJ	_	120	cc	_	_
117	120	KI.TIM	ki.tim	NOUN	N	Case=Nom|Gender=Fem|NounBase=Free|Number=Sing	116	conj	_	_
118	121	SAHAR.ŠUB-pu	sahar.šub-pu	NOUN	N	Gender=Masc|NounBase=Free|Number=Sing	124	obj	_	_
119	122	ki-ma	kīma	ADP	PRP	_	123	case	_	_
120	123	na-ah-lap-ti	na-ah-lap-ti	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	124	obl	_	_
121	124	lu-u-hal-lip-šu₂-nu	lu-u-hal-lip-šu₂-nu	VERB	V	Gender=Masc|Mood=Prec|Number=Sing|Person=3|Ventive=Yes|VerbStem=G|VerbSuffGen=Masc|VerbSuffNum=Plur|VerbSuffPer=3	_	_	_	_
122	125	ma-za-sa-šu-nu	ma-za-sa-šu-nu	NOUN	NOUN	Gender=Masc|NounBase=Bound|Number=Sing	_	_	_	_
123	126	TA@v	ta@v	ADP	ADP	_	127	case	_	_
124	127	ŠA₃	ša	NOUN	N	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	125	nmod	_	_
125	128	E₂.KUR	e₂.kur	PROPN	TN	Case=Gen|Gender=Masc|Number=Sing	127	nmod	_	_
126	129	E₂.GAL	e₂.gal	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	130	obj	_	_
127	130	lu-hal-liq	lu-hal-liq	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Perf|Ventive=Yes|VerbForm=Fin|VerbStem=G	_	_	_	_
128	131	o	o	X	X	_	_	_	_	_
129	132	NUMUN-MEŠ-šu₂-nu	numun-meš-šu₂-nu	NOUN	N	Gender=Masc|Number=Plur|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	136	obj	_	_
130	133	ṣa-lam-a-ni-šu₂-nu	ṣa-lam-a-ni-šu₂-nu	NOUN	N	Gender=Fem|Number=Plur|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	132	conj	_	_
131	134	i-na	ina	ADP	PRP	_	135	case	_	_
132	135	IZI	izi	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	136	obl	_	_
133	136	i-kar-ru-ru	ikarruru	VERB	VERB	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|VerbStem=G	_	_	_	_
134	137	di-pa-ra-šu₂-nu	di-pa-ra-šu₂-nu	NOUN	NOUN	Case=Nom|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	_	_	_	_
135	138	i-na	ina	ADP	PRP	_	139	case	_	_
136	139	A-MEŠ	a-meš	NOUN	N	Case=Gen|Gender=Masc|Number=Plur	140	obl	_	_
137	140	u₂-bal-lu-u₂	u₂-bal-lu-u₂	VERB	V	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Perf|VerbForm=Fin|VerbStem=Š	137	conj	_	_
