0	1	13	13	NUM	NUM	_	2	nummod	_	_
22	23	DAGAL	dagal	NOUN	MN	Case=Nom|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	22	nmod	_	_
23	24	04-šu₂	04-šu₂	ADJ	X	_	_	_	_	_
24	25	ta-ʾu-ma-te	ta-ʾu-ma-te	NOUN	N	Case=Gen|Gender=Masc|Number=Sing|PossSuffNum=Sing|PossSuffPer=1	24	conj	_	_
25	26	x	x	X	X	_	27	case	_	_
26	27	KUŠ₃	kuš₃	NOUN	NOUN	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
27	28	ru-ṭu	ru-ṭu	NOUN	NOUN	Case=Gen|Gender=Fem|Number=Plur	27	nmod	_	_
28	29	mu-lu-u	mu-lu-u	NOUN	PART	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
29	30	03	03	NUM	NUM	_	31	nummod	_	_
30	31	KUŠ₃	kuš₃	NOUN	NOUN	Case=Nom|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
31	32	DAGAL	dagal	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	31	nmod	_	_
32	33	02-šu₂	02-šu₂	X	X	_	_	_	_	_
33	34	KI.MIN	ki.min	NUM	n	_	_	_	_	_
34	35	PAB	pab		X	_	_	_	_	_
35	36	08	08	NUM	NUM	_	_	_	_	_
36	38	GIŠ}IG-MEŠ	giš}ig-meš	NOUN	X	_	_	_	_	_
37	39	ta-ʾu-u₂-ma-a-te	ta-ʾu-u₂-ma-a-te	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Plur|PossSuffGen=Com|PossSuffNum=Sing|PossSuffPer=1	_	_	_	_
38	40	x	x	X	X	_	41	case	_	_
39	41	KUŠ₃	kuš₃	NOUN	NOUN	_	_	_	_	_
40	42	mu-lu-u	mu-lu-u	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	41	nmod	_	_
41	43	03	03	NUM	NUM	_	44	nummod	_	_
42	44	KUŠ₃	kuš₃	NOUN	NOUN	Case=Nom|Gender=Masc|Number=Plur	_	_	_	_
43	45	ru-ṭu	ru-ṭu	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Plur	44	nmod	_	_
44	46	01	01	NUM	NUM	_	47	nummod	_	_
45	47	DIL-ni-tu₂	dil-ni-tu₂	PRON	NOUN	Case=Nom|Gender=Masc|Number=Plur|Person=3	_	_	_	_
46	48	x	x	X	X	_	_	_	_	_
47	49	KUŠ₃	kuš₃	NOUN	NOUN	_	_	_	_	_
48	50	mu-lu-u	mu-lu-u	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	49	nmod	_	_
49	51	03	03	NUM	NUM	_	52	nummod	_	_
50	52	KUŠ₃	kuš₃	NOUN	NOUN	Case=Nom|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
51	53	DAGAL	dagal	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	52	nmod	_	_
52	54	12	12	NUM	NUM	_	_	_	_	_
53	55	x	x	X	X	_	56	case	_	_
54	56	KUŠ₃	kuš₃	NOUN	NOUN	_	_	_	_	_
55	57	mu-lu-u	mu-lu-u	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	56	nmod	_	_
56	58	03	03	NUM	NUM	_	59	nummod	_	_
57	59	KUŠ₃	kuš₃	NOUN	NOUN	Case=Nom|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
58	60	DAGAL	dagal	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	59	nmod	_	_
59	61	15	15	NUM	NUM	_	62	nummod	_	_
60	62	ku-si-mat	ku-si-mat	NOUN	N	Gender=Masc|NounBase=Terminal|Number=Sing	_	_	_	_
61	63	PAB	pab		_	_	_	_	_	_
62	64	28	28	NUM	NUM	_	_	_	_	_
63	66	GIŠ}IG-MEŠ	giš}ig-meš	X	X	_	_	_	_	_
64	67	DIL-na-te	dil-na-te	PROPN	PROPN	_	66	conj	_	_
65	68	PAB	pab	X	X	_	_	_	_	_
66	69	36	36	NUM	NUM	_	_	_	_	_
67	71	GIŠ}IG-MEŠ	giš}ig-meš	NOUN	X	_	_	_	_	SpaceAfter=No
