0	1	x+x	x+x	X	X	_	0	ROOT	_	_
49	52	x	x	X	X	_	_	_	_	_
50	53	x	x	X	X	_	_	_	_	_
51	54	x	x	X	X	_	_	_	_	_
52	55	60	60	NUM	NUM	_	56	nummod	_	_
53	56	ur-a-bi	ur-a-bi	VERB	VERB	_	_	_	_	_
54	57	x	x	X	X	_	_	_	_	_
55	58	x	x	X	X	_	_	_	_	_
56	59	x	x	X	X	_	_	_	_	_
57	60	x	x	X	X	_	_	_	_	_
58	61	x	x	X	X	_	_	_	_	_
59	62	03	03	NUM	NUM	_	63	nummod	_	_
60	63	me	me	X	X	_	_	_	_	_
61	65	KUR}i-tu₂-ʾa-a.a	kur}i-tu₂-ʾa-a.a	PROPN	PN	Gender=Masc|Number=Sing	_	_	_	_
62	66	x	x	X	X	_	_	_	_	_
63	67	x	x	X	X	_	_	_	_	_
64	68	ina	ina	ADP	PRP	_	69	case	_	_
65	69	UGU	ugu	X	X	_	_	_	_	_
66	71	LU₂}NAGAR-MEŠ	lu₂}nagar-meš	PROPN	X	_	_	_	_	_
67	72	ša	ša	ADP	PRP	_	73	case	_	_
68	73	LUGAL	lugal	NOUN	N	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	71	nmod	_	_
69	74	be-li₂	be-li₂	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	_	_	_	_
70	75	iš-pur-an-ni	iš-pur-an-ni	NUM	VERB	_	74	nmod:poss	_	_
71	76	ma-a	ma-a	ADP	ADP	_	_	_	_	_
72	77	30	30	NUM	NUM	_	_	_	_	_
73	78	x	x	X	X	_	_	_	_	_
74	79	x	x	X	X	_	_	_	_	_
75	80	x	x	X	X	_	_	_	_	_
76	81	22	22	NUM	NUM	_	_	_	_	_
77	83	LU₂}NAGAR-MEŠ	lu₂}nagar-meš	X	X	_	_	_	_	_
78	84	pa-ni-x	pa-ni-x	X	X	_	_	_	_	_
79	85	x	x	X	X	_	_	_	_	_
80	86	x	x	X	X	_	_	_	_	_
81	87	meš-lu-šu₂-nu	meš-lu-šu₂-nu	X	NOUN	_	_	_	_	_
82	88	la-a	la-a	X	X	_	_	_	_	_
83	89	i-la-ku-u-ni	i-la-ku-u-ni	X	VERB	_	_	_	_	_
84	90	05	05	NUM	NUM	_	_	_	_	_
85	92	LU₂}še-lap-pa-a.a	lu₂}še-lap-pa-a.a	NOUN	NOUN	Gender=Masc	_	_	_	_
86	93	ša	ša	ADP	PRP	_	94	case	_	_
87	95	LU₂}EN.NAM	lu₂}en.nam	NOUN	NOUN	_	_	_	_	_
88	96	ša	ša	ADP	PRP	_	_	_	_	_
89	98	URU}kal-ha	uru}kal-ha	ADJ	PN	_	_	_	_	_
90	99	ina	ina	ADP	PRP	_	_	_	_	_
91	101	ITI}x	iti}x	PROPN	MN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
92	102	UD	ud	X	u	_	_	_	_	_
93	103	x-KAM	x-kam	ADJ	ADJ	_	_	_	_	_
94	104	i-tal-ku-ni	i-tal-ku-ni	X	u	_	103	conj	_	_
95	105	me-me-ni	me-me-ni	ADJ	AJ	_	_	_	_	_
96	106	ina	ina	ADP	PRP	_	107	case	_	_
97	107	ŠA₃-šu₂-nu	ša₃-šu₂-nu	PROPN	SN	_	109	obl	_	_
98	108	dul-lu	dul-lu	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	107	conj	_	_
99	109	la-a	la-a	X	X	_	_	_	_	_
100	110	e-pu-šu₂	e-pu-šu₂	ADV	ADV	_	_	_	_	_
101	111	x	x	X	X	_	_	_	_	_
102	112	x	x	X	X	_	_	_	_	_
103	113	x	x	X	X	_	_	_	_	_
104	114	x	x	X	X	_	_	_	_	_
105	115	x	x	X	X	_	_	_	_	_
106	116	a-na-ku	a-na-ku	X	X	_	_	_	_	_
107	117	x	x	X	X	_	_	_	_	_
108	118	x	x	X	X	_	_	_	_	_
109	119	x	x	X	X	_	_	_	_	_
110	120	x	x	X	X	_	_	_	_	_
111	121	x	x	X	X	_	_	_	_	_
112	122	x	x	X	X	_	_	_	_	_
113	123	x	x	X	X	_	_	_	_	_
114	124	al-lak	al-lak	X	X	_	_	_	_	_
115	125	x	x	X	X	_	_	_	_	_
116	126	x	x	X	X	_	_	_	_	_
117	127	x	x	X	X	_	_	_	_	_
118	128	x	x	X	X	_	_	_	_	_
119	129	x	x	X	X	_	_	_	_	_
120	130	x	x	X	X	_	_	_	_	_
121	131	x	x	X	X	_	_	_	_	_
122	132	x	x	X	X	_	_	_	_	_
123	133	ina	ina	ADP	PRP	_	_	_	_	_
124	135	URU}x+x	uru}x+x	PROPN	SN	Gender=Masc|Number=Sing	_	_	_	_
125	136	x	x	X	X	_	_	_	_	_
126	137	x	x	X	X	_	_	_	_	_
127	138	x	x	X	X	_	_	_	_	_
128	139	x	x	X	X	_	_	_	_	_
129	140	x	x	X	X	_	_	_	_	_
130	141	x	x	X	X	_	_	_	_	_
131	142	x	x	X	X	_	_	_	_	_
132	144	LU₂}ERIM-MEŠ	lu₂}erim-meš	X	X	_	_	_	_	_
133	145	x	x	X	X	_	_	_	_	_
134	146	x	x	X	X	_	_	_	_	_
135	147	x	x	X	X	_	_	_	_	_
136	148	x	x	X	X	_	_	_	_	_
137	149	x	x	X	X	_	_	_	_	_
138	150	x	x	X	X	_	_	_	_	_
139	151	x	x	X	X	_	_	_	_	SpaceAfter=No
