0	1	abat	awātu	NOUN	NOUN	Gender=Fem|NounBase=Bound|Number=Sing|Case=Nom	0	ROOT	_	_
70	52	u	u	CCONJ	CNJ	_	53	cc	_	_
71	53	rēhti	rēhtu	NOUN	N	Gender=Fem	_	_	_	_
72	54	o	o	X	X	_	_	_	_	_
74	56	LU₂}GAL	lu₂}gal	X	X	_	_	_	_	SpaceAfter=No
76	58	ṣi	ṣi	X	X	_	_	_	_	SpaceAfter=No
78	60	x	x	X	X	_	_	_	_	_
79	61	x	x	X	X	_	_	_	_	_
80	62	x	x	X	X	_	_	_	_	_
81	63	x	x	X	X	_	_	_	_	_
82	64	kalliāni	kallû	NOUN	NOUN	Gender=Masc|Number=Plur|Case=Nom	_	_	_	_
83	65	x	x	X	X	_	_	_	_	_
84	66	x	x	X	X	_	_	_	_	_
85	67	ēpiš	ēpišu	NOUN	_	Gender=Masc|Number=Sing|Case=Nom|VerbStem=G|NounStem=Bound	64	conj	_	_
86	68	dulli	dullu	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	67	nmod:poss	_	_
87	69	ina	ina	ADP	PRP	_	70	case	_	_
88	70	pānišunu	pānu	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	71	obl	_	_
89	71	lilliku	alāku	VERB	V	Gender=Masc|Number=Plur|Person=3|Mood=Prec|VerbStem=G	0	ROOT	_	_
90	1	ina	ina	ADP	ADP	_	2	case	_	_
91	2	muhhi	muhhu	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
92	3	x	x	X	X	_	_	_	_	_
93	4	x	x	X	X	_	_	_	_	_
94	5	x	x	X	X	_	_	_	_	_
95	6	x	x	X	X	_	_	_	_	_
96	7	x	x	X	X	_	_	_	_	_
97	8	x	x	X	X	_	_	_	_	_
98	9	x	x	X	X	_	_	_	_	_
99	10	mā	mā	ADP	Quotative	_	_	_	_	_
100	11	ana	ana	ADP	ADP	_	_	_	_	_
101	12	x+x	x+x	X	X	_	_	_	_	_
102	13	x	x	X	X	_	_	_	_	_
103	14	x	x	X	X	_	_	_	_	_
104	15	x	x	X	X	_	_	_	_	_
105	16	rēhti	rēhtu	NOUN	NOUN	Gender=Fem	_	_	_	_
106	17	x	x	X	X	_	_	_	_	_
107	18	x	x	X	X	_	_	_	_	_
108	19	x	x	X	X	_	_	_	_	_
109	20	x	x	X	X	_	_	_	_	_
110	21	x	x	X	X	_	_	_	_	_
111	22	lēpuš	epēšu	VERB	VERB	Gender=Masc|Number=Sing|Person=3|Mood=Prec|VerbStem=G	_	_	_	_
112	23	x+x	x+x	X	X	_	_	_	_	_
113	24	x	x	X	X	_	_	_	_	_
114	25	x	x	X	X	_	_	_	_	_
115	26	x	x	X	X	_	_	_	_	_
116	27	namarkû	namarkû	ADJ	_	Gender=Masc|Number=Sing|Case=Nom	_	_	_	_
117	28	x	x	X	X	_	_	_	_	_
118	29	x	x	X	X	_	_	_	_	_
119	30	x	x	X	X	_	_	_	_	_
120	31	x	x	X	X	_	_	_	_	_
121	32	zakkû	zakkû	NOUN	_	Gender=Masc	_	_	_	_
122	33	x	x	X	X	_	_	_	_	_
123	34	x	x	X	X	_	_	_	_	_
124	35	x	x	X	X	_	_	_	_	_
125	36	liṣbatūšunu	ṣabātu	NOUN	VERB	Gender=Masc|Number=Plur|Person=3|Mood=Prec|VerbStem=G|VerbSuffNum=Plur|VerbSuffPer=3|VerbSuffGen=Masc	_	_	_	_
126	37	x	x	X	X	_	_	_	_	_
127	38	x	x	X	X	_	_	_	_	_
128	39	x	x	X	X	_	_	_	_	_
129	40	x+x	x+x	X	X	_	_	_	_	_
130	41	šumma	šumma	SCONJ	_	_	_	_	_	_
131	42	lā	lā	PART	PART	_	_	_	_	_
132	43	x	x	X	X	_	_	_	_	_
133	44	x	x	X	X	_	_	_	_	_
