0	1	hannīša	annîša	ADV	NOUN	Case=Nom|Gender=Masc|Number=Sing	0	ROOT	_	_
38	3	assaprakkunu	šapāru	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|Ventive=Yes|VerbForm=Fin|VerbStem=G|VerbSuffGen=Masc|VerbSuffNum=Plur|VerbSuffPer=2	0	ROOT	_	_
39	1	ūmu	ūmu	NOUN	NOUN	Gender=Masc|Number=Sing|Case=Gen	_	_	_	_
40	2	ša	ša	PRON	PRON	_	5	obl	_	_
41	3	egertu	egertu	NOUN	NOUN	Case=Acc|Gender=Fem|Number=Sing	5	obj	_	_
42	4	annītu	annû	DET	DET	Case=Acc|Gender=Fem|Number=Sing	3	det	_	_
43	5	tammarūni	amāru	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=2|SubSuffix=Yes|Subordinative=Yes|Tense=Pres|VerbForm=Fin|VerbStem=G	1	acl	_	_
44	6	x	x	X	X	_	_	_	_	_
45	7	x	x	X	X	_	_	_	_	_
46	8	dibbī	dibbu	NOUN	NOUN	Gender=Masc|Number=Plur|Case=Acc	_	_	_	_
47	9	annūti	annû	PRON	DET	Gender=Masc|Number=Plur	_	_	_	_
48	10	x	x	X	X	_	_	_	_	_
49	11	x	x	X	X	_	_	_	_	_
50	12	x	x	X	X	_	_	_	_	_
51	1	x	x	X	X	_	_	_	_	_
52	2	ina	ina	ADP	ADP	_	3	case	_	_
53	3	pî	pû	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing|NounStem=Bound	9	obl	_	_
54	4	ṭēmu	ṭēmu	NOUN	NOUN	Gender=Masc|Number=Sing|Case=Gen	3	nmod	_	_
55	5	x	x	X	X	_	_	_	_	_
56	6	x	x	X	X	_	_	_	_	_
57	7	x	x	X	X	_	_	_	_	_
58	8	x	x	X	X	_	_	_	_	_
59	9	lunammiš	namāšu	VERB	VERB	Gender=Masc|Number=Sing|Person=3|Mood=Prec|VerbStem=D	0	ROOT	_	_
60	10	lillik	alāku	VERB	VERB	Gender=Masc|Mood=Prec|Number=Sing|Person=3|VerbStem=G	9	conj	_	_
61	1	x	x	X	X	_	_	_	_	_
62	2	x	x	X	X	_	_	_	_	_
63	3	x	x	X	X	_	_	_	_	_
64	4	x	x	X	X	_	_	_	_	_
65	5	mā	mā	PART	Quotative	_	8	discourse	_	_
66	6	abat	awātu	NOUN	NOUN	Case=Acc|Gender=Fem|NounBase=Bound|Number=Sing	8	obj	_	_
67	7	šarri	šarru	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	6	nmod	_	_
68	8	attahar	mahāru	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
69	1	x	x	X	X	_	_	_	_	_
70	2	x	x	X	X	_	_	_	_	_
71	3	x	x	X	X	_	_	_	_	_
72	4	issaknu	šakānu	VERB	VERB	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
73	5	x	x	X	X	_	_	_	_	_
74	6	x	x	X	X	_	_	_	_	_
75	7	x	x	X	X	_	_	_	_	_
76	8	x	x	X	X	_	_	_	_	_
77	9	x	x	X	X	_	_	_	_	_
78	10	x	x	X	X	_	_	_	_	_
79	11	x	x	X	X	_	_	_	_	_
80	12	x+x	x+x	X	X	_	_	_	_	_
81	13	x+x	x+x	X	X	_	_	_	_	_
82	14	x	x	X	X	_	_	_	_	_
83	15	x	x	X	X	_	_	_	_	_
84	16	x	x	X	X	_	_	_	_	_
85	17	x	x	X	X	_	_	_	_	_
86	18	x	x	X	X	_	_	_	_	_
87	19	x	x	X	X	_	_	_	_	_
88	20	x	x	X	X	_	_	_	_	_
89	21	x	x	X	X	_	_	_	_	_
90	22	da	da	X	X	_	_	_	_	_
91	23	x	x	X	X	_	_	_	_	_
92	24	x	x	X	X	_	_	_	_	_
93	25	x	x	X	X	_	_	_	_	_
94	26	x	x	X	X	_	_	_	_	_
95	27	x	x	X	X	_	_	_	_	_
96	28	x	x	X	X	_	_	_	_	_
97	29	x	x	X	X	_	_	_	_	_
98	30	x	x	X	X	_	_	_	_	_
99	31	x	x	X	X	_	_	_	_	_
100	32	x	x	X	X	_	_	_	_	_
101	33	x	x	X	X	_	_	_	_	_
102	34	mā	mā	PART	Quotative	_	_	_	_	_
103	35	x	x	X	X	_	_	_	_	_
104	36	x	x	X	X	_	_	_	_	_
105	37	x	x	X	X	_	_	_	_	_
106	38	x	x	X	X	_	_	_	_	_
107	39	x	x	X	X	_	_	_	_	_
108	40	x	x	X	X	_	_	_	_	_
109	41	x	x	X	X	_	_	_	_	_
110	42	x	x	X	X	_	_	_	_	_
111	43	x	x	X	X	_	_	_	_	_
112	44	ša	ša	DET	X	_	_	_	_	_
113	45	x+x	x+x	X	X	_	_	_	_	_
114	46	x	x	X	X	_	_	_	_	_
115	47	x	x	X	X	_	_	_	_	_
116	48	x	x	X	X	_	_	_	_	_
117	49	x	x	X	X	_	_	_	_	_
118	50	x	x	X	X	_	_	_	_	_
119	51	x	x	X	X	_	_	_	_	_
120	52	x	x	X	X	_	_	_	_	_
121	53	ihtabtu	habātu	VERB	VERB	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
122	54	x	x	X	X	_	_	_	_	_
123	55	x	x	X	X	_	_	_	_	_
124	56	x	x	X	X	_	_	_	_	_
125	57	x	x	X	X	_	_	_	_	_
126	58	x	x	X	X	_	_	_	_	_
127	59	x	x	X	X	_	_	_	_	_
128	60	x	x	X	X	_	_	_	_	_
129	1	mā	mā	PART	Quotative	_	_	_	_	_
130	2	ūmâ	ūma	ADV	ADV	_	_	_	_	_
131	3	šumma	šumma	SCONJ	SCONJ	_	8	mark	_	_
132	4	x	x	X	X	_	_	_	_	_
133	5	x	x	X	X	_	_	_	_	_
134	6	x	x	X	X	_	_	_	_	_
135	7	x	x	X	X	_	_	_	_	_
136	8	epiš	epšu	VERB	VERB	Gender=Masc|Number=Sing|Person=3|VerbForm=Stat|Mood=Ind|VerbStem=G|Voice=Passive	_	_	_	_
137	9	kal	kal	DET	N	_	_	_	_	_
138	10	la	la	X	X	_	_	_	_	_
139	11	x	x	X	X	_	_	_	_	_
140	12	x	x	X	X	_	_	_	_	_
141	13	x	x	X	X	_	_	_	_	_
142	14	x	x	X	X	_	_	_	_	_
143	15	x	x	X	X	_	_	_	_	_
144	16	x	x	X	X	_	_	_	_	_
145	1	u	u	CONJ	CONJ	_	2	cc	_	_
146	2	šumma	šumma	PART	SCONJ	_	_	_	_	_
147	3	urdāni	ardu	NOUN	NOUN	Case=Nom|Gender=Masc|Number=Plur	_	_	_	_
148	4	x+x	x+x	X	X	_	_	_	_	_
149	5	x	x	X	X	_	_	_	_	_
150	6	x	x	X	X	_	_	_	_	_
151	7	x	x	X	X	_	_	_	_	_
152	8	x	x	X	X	_	_	_	_	_
153	9	mā	mā	PART	Quotative	_	10	discourse	_	_
154	10	atâ	atā	PRON	ADV	_	_	_	_	_
155	11	anāku	anāku	PRON	PRON	Case=Nom|Gender=Com|Number=Sing|Person=1	_	_	_	_
156	12	x+x	x+x	X	X	_	_	_	_	_
157	13	x	x	X	X	_	_	_	_	_
158	14	x	x	X	X	_	_	_	_	_
159	15	x	x	X	X	_	_	_	_	_
160	16	mā	mā	PART	Quotative	_	_	_	_	_
161	17	atta	atta	PRON	PRON	Case=Nom|Gender=Masc|Number=Sing|Person=2	_	_	_	_
162	18	taš	taš	NOUN	NOUN	_	_	_	_	SpaceAfter=No
164	20	x	x	X	X	_	_	_	_	_
165	21	x	x	X	X	_	_	_	_	_
166	22	x	x	X	X	_	_	_	_	_
167	23	x	x	X	X	_	_	_	_	_
168	24	x	x	X	X	_	_	_	_	_
169	25	eppušu	epēšu	VERB	VERB	Gender=Masc|Number=Plur|Person=3|Tense=Pres|Mood=Ind|VerbForm=Fin|VerbStem=G	_	_	_	_
170	26	annurig	annûri	ADV	ADV	_	_	_	_	_
171	27	x	x	X	X	_	_	_	_	_
172	28	x	x	X	X	_	_	_	_	_
173	29	x	x	X	X	_	_	_	_	_
174	30	x	x	X	X	_	_	_	_	_
175	31	ša	ša	DET	X	_	33	nsubj	_	_
176	32	ana	ana	ADP	ADP	_	33	case	_	_
177	33	mār	māru	NOUN	NOUN	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
178	34	šiprīšu	šipru	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	33	nmod	_	_
179	35	x	x	X	X	_	_	_	_	_
180	36	x	x	X	X	_	_	_	_	_
181	37	x	x	X	X	_	_	_	_	_
182	38	x	x	X	X	_	_	_	_	_
183	39	ṭēmu	ṭēmu	NOUN	NOUN	Case=Acc|Gender=Masc|Number=Sing	41	nsubj	_	_
184	40	ina	ina	ADP	ADP	_	41	case	_	_
185	41	libbi	libbu	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
186	42	x	x	X	X	_	_	_	_	_
187	43	x	x	X	X	_	_	_	_	_
188	44	x	x	X	X	_	_	_	_	_
189	45	x	x	X	X	_	_	_	_	_
190	46	x	x	X	X	_	_	_	_	_
191	47	šinīšu	šinīšu	ADV	NOUN	Case=Nom|Gender=Masc|Number=Plur|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	_	_	_	_
192	48	šalāšīšu	šalāšī-	ADV	NOUN	Gender=Masc|Number=Plur|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	_	_	_	_
193	49	x+x	x+x	X	X	_	_	_	_	_
194	50	x	x	X	X	_	_	_	_	_
195	51	x	x	X	X	_	_	_	_	_
196	52	x	x	X	X	_	_	_	_	_
197	53	x	x	X	X	_	_	_	_	_
198	54	x	x	X	X	_	_	_	_	_
199	55	x	x	X	X	_	_	_	_	_
200	56	ša	ša	DET	X	_	_	_	_	_
201	57	ak	ak	X	X	_	_	_	_	SpaceAfter=No
203	59	x+x	x+x	X	X	_	_	_	_	_
204	60	x	x	X	X	_	_	_	_	_
205	61	x	x	X	X	_	_	_	_	_
206	62	x	x	X	X	_	_	_	_	_
207	63	x	x	X	X	_	_	_	_	_
208	64	x	x	X	X	_	_	_	_	_
209	65	x	x	X	X	_	_	_	_	_
210	66	x	x	X	X	_	_	_	_	_
