0	1	ni-il-lak	ni-il-lak	VERB	NOUN	Gender=Com|Mood=Ind|Number=Plur|Person=1|Tense=Pres	0	ROOT	_	_
34	36	x	x	X	X	_	_	_	_	_
35	37	la	la	X	X	_	_	_	_	_
36	38	ni-šad-da-du-ni	ni-šad-da-du-ni	X	VERB	_	_	_	_	_
37	39	x	x	X	X	_	_	_	_	_
38	40	ma	ma	X	X	_	_	_	_	_
39	41	x	x	X	X	_	_	_	_	_
40	42	x-MEŠ-e	x-meš-e	X	X	_	_	_	_	_
41	43	la	la	X	X	_	_	_	_	_
42	44	a-na	a-na	X	X	_	_	_	_	_
43	45	x	x	X	X	_	_	_	_	_
44	46	x	x	X	X	_	_	_	_	_
45	47	x	x	X	X	_	_	_	_	_
46	48	x	x	X	X	_	_	_	_	_
47	49	x	x	X	X	_	_	_	_	_
48	50	x	x	X	X	_	_	_	_	_
49	51	x	x	X	X	_	_	_	_	_
50	53	URU}ŠA₃-URU	uru}ša₃-uru	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
51	54	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
52	55	x	x	X	X	_	_	_	_	_
53	56	x	x	X	X	_	_	_	_	_
54	57	x	x	X	X	_	_	_	_	_
55	58	x	x	X	X	_	_	_	_	_
56	59	x	x	X	X	_	_	_	_	_
57	60	x	x	X	X	_	_	_	_	_
58	61	x	x	X	X	_	_	_	_	_
59	62	di	di	X	X	_	_	_	_	_
60	63	ARAD-MEŠ-šu₂	arad-meš-šu₂	ADV	TN	_	_	_	_	_
61	64	ki-i	ki-i	ADV	u	_	63	nmod:poss	_	_
62	65	an-ni-e	an-ni-e	NOUN	CNJ	Gender=Fem|NounBase=Bound|Number=Sing	66	cc	_	_
63	66	iq-ṭi₂-bi-u	iq-ṭi₂-bi-u	VERB	V	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
64	67	ma-a	ma-a	ADP	N	_	_	_	_	_
65	68	TA@v	ta@v	NOUN	N	_	_	_	_	_
66	69	E₂	e₂	PROPN	X	_	68	nmod:poss	_	_
67	71	GIŠ}UR₃-MEŠ	giš}ur₃-meš	X	u	_	_	_	_	_
68	72	pa-ti-u-te	pa-ti-u-te	ADJ	N	_	71	appos	_	_
69	73	kar-ru-ni	kar-ru-ni	VERB	V	Gender=Masc|Mood=Ind|Number=Sing|Person=3|SubSuff=Yes|Subordinative=Yes|VerbForm=Stat|VerbStem=G	71	acl:relcl	_	_
70	74	a-di	a-di	PROPN	V	_	_	_	_	_
71	76	URU}ŠA₃-URU	uru}ša₃-uru	PROPN	u	_	75	conj	_	_
72	77	ID₂	id₂	PROPN	TN	_	76	conj	_	_
73	78	ṭa-a-ba	ṭa-a-ba	NOUN	N	_	77	appos	_	_
74	79	ma-a	ma-a	ADP	ADP	_	80	case	_	_
75	80	TA@v	ta@v	NOUN	N	_	_	_	_	_
76	82	URU}ŠA₃-URU	uru}ša₃-uru	NOUN	TN	Gender=Masc|Number=Plur	81	nmod:poss	_	_
77	83	a-di	a-di	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
78	85	URU}ni-nu-a	uru}ni-nu-a	ADJ	GN	_	84	conj	_	_
79	86	ID₂	id₂	PROPN	PROPN	_	85	nmod:poss	_	_
80	87	ma-zu-uʾ	ma-zu-uʾ	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	_	_	_	_
81	89	LU₂}GAR.KUR	lu₂}gar.kur	PROPN	PROPN	_	_	_	_	_
82	91	LU₂}GAR.KUR	lu₂}gar.kur	PROPN	PROPN	_	_	_	_	_
83	92	iq-ṭi₂-bi-a	iq-ṭi₂-bi-a	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
84	93	ma-a	ma-a	ADP	NOUN	_	_	_	_	_
85	94	10	10	NUM	NUM	_	95	nummod	_	_
86	95	UD-MEŠ	ud-meš	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
87	96	an-na-ka	an-na-ka	NOUN	V	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	_	_	_	_
88	97	la-ah-ru-up	la-ah-ru-up	NOUN	NOUN	_	96	nmod:poss	_	_
89	98	ša	ša	ADP	PRP	_	96	dep	_	_
90	99	ina	ina	ADP	PRP	_	100	case	_	_
91	100	ŠA₃	ša₃	PROPN	MN	Case=Gen|Gender=Masc|Number=Sing	101	obl	_	_
92	101	UD-me	ud-me	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
93	102	x	x	X	X	_	_	_	_	_
94	103	x	x	X	X	_	_	_	_	_
95	104	x+x-ni	x+x-ni	X	X	_	_	_	_	_
96	106	KUR}lab-du-du	kur}lab-du-du	NOUN	X	_	_	_	_	_
97	107	x-hi-ri	x-hi-ri	X	X	_	_	_	_	_
98	108	x+x	x+x	X	X	_	_	_	_	_
99	109	x	x	X	X	_	_	_	_	_
100	110	x	x	X	X	_	_	_	_	_
101	111	x	x	X	X	_	_	_	_	_
102	112	x	x	X	X	_	_	_	_	_
103	113	x	x	X	X	_	_	_	_	_
104	114	SAG	sag	X	X	_	_	_	_	_
105	115	ITI	iti	X	X	_	_	_	_	_
106	116	ša	ša	ADP	PRP	_	_	_	_	_
107	118	ITI}DU₆	iti}du₆	NOUN	DN	_	_	_	_	_
108	119	ma-a	ma-a	X	X	_	_	_	_	_
109	120	x	x	X	X	_	_	_	_	_
110	121	x	x	X	X	_	_	_	_	_
111	122	x	x	X	X	_	_	_	_	_
112	123	x	x	X	X	_	_	_	_	_
113	124	x	x	X	X	_	_	_	_	_
114	125	x	x	X	X	_	_	_	_	_
115	126	pa-ni-u-te	pa-ni-u-te	NOUN	NOUN	_	_	_	_	_
116	127	01.en	01.en	ADJ	NOUN	_	_	_	_	_
117	128	E₂	e₂	PROPN	PROPN	_	127	nmod	_	_
118	129	ina	ina	ADP	PRP	_	130	case	_	_
119	131	URU}ŠA₃-URU	uru}ša₃-uru	NOUN	PN	Gender=Masc|Number=Plur	132	nsubj	_	_
120	132	iq-ri-bu-ni	iq-ri-bu-ni	NOUN	AJ	Gender=Masc|Number=Plur	_	_	_	_
121	133	a-sa-al-šu₂-nu	a-sa-al-šu₂-nu	NUM	V	_	134	dep	_	_
122	134	nu-uk	nu-uk	NOUN	N	Gender=Fem|NounBase=Free|Number=Sing	_	_	_	_
123	135	pa-ti-u-te	pa-ti-u-te	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	_	_	_	_
124	136	ša	ša	ADP	PRP	_	_	_	_	_
125	138	GIŠ}UR₃-MEŠ	giš}ur₃-meš	X	X	_	_	_	_	_
126	139	a-a-ka	a-a-ka	NOUN	NOUN	Case=Nom|Gender=Fem|Number=Sing|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	_	_	_	_
127	140	ma-a	ma-a	ADP	DET	_	139	dep	_	_
128	141	ina	ina	ADP	PRP	_	142	case	_	_
129	142	pu-ut	pu-ut	NOUN	NOUN	_	_	_	_	_
130	144	URU}ar-ia-u-a-te	uru}ar-ia-u-a-te	ADJ	PN	_	143	amod	_	_
131	145	ma-a	ma-a	X	X	_	_	_	_	_
132	147	GIŠ}UR₃-MEŠ	giš}ur₃-meš	X	X	_	_	_	_	_
133	148	ša	ša	ADP	PRP	_	147	dep	_	_
134	149	ina	ina	ADP	PRP	_	150	case	_	_
135	150	šad-daq-diš	šad-daq-diš	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	151	obl	_	_
136	151	a-ni-nu	a-ni-nu	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Pres|Ventive=Yes|VerbForm=Fin|VerbStem=G	152	advcl	_	_
137	152	ni-iš-du-du-ni	ni-iš-du-du-ni	NOUN	VERB	Case=Nom|Gender=Masc|Number=Plur	_	_	_	_
138	153	ma-a	ma-a	ADP	DET	_	154	case	_	_
139	154	TA@v	ta@v	NOUN	N	_	_	_	_	_
140	155	ŠA₃	ša₃	PROPN	SN	_	154	nmod	_	_
141	157	URU}sa-pi-ri-te	uru}sa-pi-ri-te	PROPN	PN	_	156	nmod:poss	_	_
142	158	ša	ša	ADP	PRP	_	159	case	_	_
143	159	E₂	e₂	PROPN	PROPN	_	156	nmod	_	_
144	161	LU₂}GAR.KUR	lu₂}gar.kur	PROPN	PROPN	_	_	_	_	_
145	163	LU₂}GAR.KUR	lu₂}gar.kur	VERB	GN	Gender=Masc|Mood=Ind|Number=Plur|Person=3|VerbForm=Stat|VerbStem=G	_	_	_	_
146	164	pu-ut	pu-ut	NOUN	VERB	_	_	_	_	_
147	166	URU}za-he-e	uru}za-he-e	ADJ	ADJ	_	165	nmod:poss	_	_
148	167	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
149	169	ITI}ŠE	iti}še	ADJ	PN	_	168	conj	_	_
150	170	ina	ina	ADP	PRP	_	_	_	_	_
151	172	URU}ni-nu-a	uru}ni-nu-a	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	173	obl	_	_
152	173	iq-ṭar-bu-ni	iq-ṭar-bu-ni	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
153	174	ki-i	ki-i	X	X	_	175	nsubj	_	_
154	175	di-ib-bi	di-ib-bi	NOUN	VERB	Gender=Fem|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	_	_	_	_
155	176	an-nu-te	an-nu-te	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	_	_	_	_
156	177	TA@v	ta@v	NOUN	N	_	176	nmod:poss	_	_
157	178	pi-i	pi-i	PROPN	u	_	177	nmod:poss	_	_
158	179	ša	ša	ADP	PRP	_	_	_	_	_
159	181	LU₂}GAR.KUR	lu₂}gar.kur	PROPN	PROPN	_	_	_	_	_
160	183	LU₂}GAR.KUR	lu₂}gar.kur	PROPN	PROPN	_	_	_	_	_
161	184	aš₂-mu-ni	aš₂-mu-ni	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
162	185	ma-a	ma-a	ADP	N	_	186	case	_	_
163	186	ID₂	id₂	PROPN	SN	_	_	_	_	_
164	187	TA@v	ta@v	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	_	_	_	_
165	188	ŠA₃	ša₃	PROPN	SN	_	187	nmod:poss	_	_
166	190	URU}ar-ia-u-a-te	uru}ar-ia-u-a-te	ADJ	PN	_	189	nmod:poss	_	_
167	191	a-di	a-di	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|Ventive=Yes|VerbForm=Fin|VerbStem=G	_	_	_	_
168	193	URU}ŠA₃-URU	uru}ša₃-uru	PROPN	PN	_	192	conj	_	_
169	194	ṭa-a-ba	ṭa-a-ba	PROPN	N	_	193	appos	_	_
170	195	DINGIR-MEŠ	dingir-meš	PROPN	EN	_	198	nsubj	_	_
171	196	ša	ša	ADP	PRP	_	197	case	_	_
172	197	LUGAL	lugal	NOUN	N	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	195	nmod	_	_
173	198	e-tap-šu₂	e-tap-šu₂	ADV	AV	_	_	_	_	_
174	200	GIŠ}UR₃-MEŠ	giš}ur₃-meš	X	X	_	_	_	_	_
175	201	ni-šad-da-da	ni-šad-da-da	NUM	X	_	_	_	_	_
176	202	be₂-et	be₂-et	ADP	ADP	_	203	case	_	_
177	203	pu-luh-tu₂	pu-luh-tu₂	VERB	GN	Gender=Masc|Mood=Ind|Number=Plur|Person=3|VerbForm=Stat|VerbStem=G	_	_	_	_
178	204	nu-še-ta-qa	nu-še-ta-qa	VERB	u	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|Ventive=Yes|VerbForm=Fin|VerbStem=Š	_	_	_	_
179	205	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
180	207	URU}ŠA₃-URU	uru}ša₃-uru	NOUN	AJ	Gender=Masc|NounBase=Bound|Number=Sing	206	conj	_	_
181	208	nu-ub-ba-la	nu-ub-ba-la	NOUN	N	_	206	appos	_	_
182	209	i-da-te	i-da-te	NUM	NUM	_	_	_	_	_
183	210	i-da-te	i-da-te	NUM	NUM	_	_	_	_	_
184	211	ša	ša	ADP	PRP	_	_	_	_	_
185	212	ina	ina	ADP	PRP	_	213	case	_	_
186	213	pa-na-tu-ni	pa-na-tu-ni	VERB	VERB	Gender=Masc|Mood=Prec|Number=Sing|Person=3|Ventive=Yes|VerbStem=G	214	obl	_	_
187	214	ne₂-e-mar	ne₂-e-mar	VERB	VERB	Gender=Com|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|VerbStem=G	_	_	_	_
188	215	ṭu-bi-ni	ṭu-bi-ni	VERB	VERB	_	_	_	_	_
189	216	a-di	a-di	X	VERB	_	_	_	_	_
190	218	URU}ni-nu-a	uru}ni-nu-a	ADJ	GN	_	219	obl	_	_
191	219	ni-šad-da-da	ni-šad-da-da	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
192	220	ina	ina	ADP	PRP	_	221	case	_	_
193	221	UGU	ugu	PROPN	TN	_	_	_	_	_
194	222	ša	ša	ADP	PRP	_	223	case	_	_
195	223	LUGAL	lugal	NOUN	N	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	221	nmod	_	_
196	224	be-li₂	be-li₂	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	225	obj	_	_
197	225	iš-pur-a-ni	iš-pur-a-ni	X	u	_	_	_	_	_
198	226	ma-a	ma-a	X	X	_	_	_	_	_
199	227	x	x	X	X	_	_	_	_	_
200	228	x	x	X	X	_	_	_	_	_
201	229	x	x	X	X	_	_	_	_	_
202	230	na	na	X	X	_	_	_	_	SpaceAfter=No
