0	1	an	an	X	X	_	0	ROOT	_	_
51	52	x	x	X	X	_	_	_	_	_
52	53	x	x	X	X	_	_	_	_	_
53	54	sa-x	sa-x	X	X	_	_	_	_	_
54	55	x	x	X	X	_	_	_	_	_
55	56	x	x	X	X	_	_	_	_	_
56	57	x	x	X	X	_	_	_	_	_
57	58	x	x	X	X	_	_	_	_	_
58	59	x	x	X	X	_	_	_	_	_
59	60	x	x	X	X	_	_	_	_	_
60	61	x	x	X	X	_	_	_	_	_
61	62	x	x	X	X	_	_	_	_	_
62	63	x	x	X	X	_	_	_	_	_
63	64	šum-ma	šum-ma	NOUN	PRON	Case=Nom|Gender=Masc|NounBase=Free|Number=Plur	65	obj	_	_
64	65	ta-šap-pa-ra	ta-šap-pa-ra	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=2|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
65	66	x	x	X	X	_	_	_	_	_
66	67	x	x	X	X	_	_	_	_	_
67	68	x	x	X	X	_	_	_	_	_
68	69	x	x	X	X	_	_	_	_	_
69	70	x	x	X	X	_	_	_	_	_
70	71	x	x	X	X	_	_	_	_	_
71	72	a-na	a-na	X	VERB	_	_	_	_	_
72	74	LU₂}EN-URU-u₂-ti	lu₂}en-uru-u₂-ti	NOUN	RN	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
73	76	LU₂}EN-URU-u₂-ti	lu₂}en-uru-u₂-ti	NOUN	N	Case=Gen|Gender=Masc|Number=Plur	77	obj	_	_
74	77	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
75	78	x	x	X	X	_	_	_	_	_
76	79	x	x	X	X	_	_	_	_	_
77	80	x	x	X	X	_	_	_	_	_
78	81	nu-ram-ma	nu-ram-ma	X	NOUN	_	_	_	_	_
79	82	u₂-ma-a	u₂-ma-a	X	X	_	_	_	_	_
80	83	an-nu-rig	an-nu-rig	ADV	ADV	_	_	_	_	_
81	84	a-sap-rak-ku-nu	a-sap-rak-ku-nu	PROPN	PRON	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
82	85	ki-i	ki-i	PROPN	PROPN	_	84	conj	_	_
83	87	1}iš-pa-ba-ra	1}iš-pa-ba-ra	VERB	NOUN	Gender=Masc|Mood=Prec|Number=Sing|Person=3|Ventive=Yes|VerbStem=G	_	_	_	_
84	88	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
85	90	LU₂}EN-URU-u₂-ti	lu₂}en-uru-u₂-ti	NOUN	N	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
86	92	LU₂}EN-URU-u₂-ti	lu₂}en-uru-u₂-ti	NOUN	N	Case=Gen|Gender=Masc|Number=Plur	93	obl	_	_
87	93	ta-paq-qi-da-a-ni	ta-paq-qi-da-a-ni	X	X	_	_	_	_	_
88	94	x+x	x+x	X	X	_	_	_	_	_
89	95	x	x	X	X	_	_	_	_	_
90	96	x	x	X	X	_	_	_	_	_
91	97	x	x	X	X	_	_	_	_	_
92	98	x	x	X	X	_	_	_	_	_
93	99	u₃	u₃	X	X	_	_	_	_	_
94	101	1}lu-tu-u₂	1}lu-tu-u₂	PROPN	X	_	_	_	_	_
95	102	i-x	i-x	X	X	_	_	_	_	_
96	103	x	x	X	X	_	_	_	_	_
97	104	x	x	X	X	_	_	_	_	_
98	105	x	x	X	X	_	_	_	_	_
99	106	x	x	X	X	_	_	_	_	_
100	107	UN-MEŠ-šu₂-nu	un-meš-šu₂-nu	PROPN	X	Gender=Masc|Number=Sing	_	_	_	_
101	108	ta-na-x	ta-na-x	X	X	_	_	_	_	_
102	109	x	x	X	X	_	_	_	_	_
103	110	x	x	X	X	_	_	_	_	_
104	111	x	x	X	X	_	_	_	_	_
105	112	x	x	X	X	_	_	_	_	_
106	113	me-me-ni	me-me-ni	X	X	_	_	_	_	_
107	114	la	la	X	X	_	_	_	_	_
108	115	ep-pa-aš₂	ep-pa-aš₂	NOUN	X	_	_	_	_	_
109	116	x	x	X	X	_	_	_	_	_
110	117	x	x	X	X	_	_	_	_	_
111	118	x	x	X	X	_	_	_	_	_
112	119	x	x	X	X	_	_	_	_	_
113	120	x	x	X	X	_	_	_	_	_
114	121	am-mar	am-mar	X	PRON	_	_	_	_	_
115	122	UD-me-šu₂	ud-me-šu₂	ADJ	NOUN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
116	123	x	x	X	X	_	_	_	_	_
117	124	x	x	X	X	_	_	_	_	_
118	125	x	x	X	X	_	_	_	_	_
119	126	x	x	X	X	_	_	_	_	_
120	127	x	x	X	X	_	_	_	_	_
121	128	x	x	X	X	_	_	_	_	_
122	129	x	x	X	X	_	_	_	_	_
123	130	na-ṣa-aš₂-šu₂-nu	na-ṣa-aš₂-šu₂-nu	X	NOUN	_	_	_	_	_
124	131	x	x	X	X	_	_	_	_	_
125	132	x	x	X	X	_	_	_	_	_
126	133	x	x	X	X	_	_	_	_	_
127	134	x	x	X	X	_	_	_	_	_
128	135	x	x	X	X	_	_	_	_	_
129	136	x	x	X	X	_	_	_	_	_
130	137	x	x	X	X	_	_	_	_	_
131	138	nu-šal-lam	nu-šal-lam	VERB	NOUN	Gender=Com|Mood=Ind|Number=Plur|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
132	139	x	x	X	X	_	_	_	_	_
133	140	x	x	X	X	_	_	_	_	_
134	141	x	x	X	X	_	_	_	_	_
135	142	x	x	X	X	_	_	_	_	_
136	143	x	x	X	X	_	_	_	_	_
137	144	x	x	X	X	_	_	_	_	_
138	145	x	x	X	X	_	_	_	_	SpaceAfter=No
