0	1	la	la	X	X	_	0	ROOT	_	_
99	101	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
100	103	1}sa-ni-ie	1}sa-ni-ie	PROPN	PN	_	_	_	_	_
101	104	a-sa-par	a-sa-par	ADV	VERB	_	_	_	_	_
102	105	nu-uk	nu-uk	NOUN	VERB	Gender=Fem|NounBase=Free|Number=Sing	_	_	_	_
103	106	mi₃-nu	mi₃-nu	NOUN	N	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
104	107	ṭe₃-mu	ṭe₃-mu	NOUN	N	Gender=Masc|Number=Plur	106	appos	_	_
105	108	iš-x	iš-x	X	X	_	_	_	_	_
106	109	x	x	X	X	_	_	_	_	_
107	110	x	x	X	X	_	_	_	_	_
108	111	x	x	X	X	_	_	_	_	_
109	112	UGU	ugu	X	X	_	_	_	_	_
110	113	LUGAL	lugal	VERB	NOUN	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
111	114	be-li₂-ia	be-li₂-ia	X	X	_	_	_	_	_
112	115	x	x	X	X	_	_	_	_	_
113	116	x	x	X	X	_	_	_	_	_
114	117	x	x	X	X	_	_	_	_	_
115	118	x	x	X	X	_	_	_	_	_
116	119	ma-a	ma-a	X	X	_	_	_	_	_
117	121	1}ur-za-ni	1}ur-za-ni	X	X	_	_	_	_	_
118	123	URU}x	uru}x	PROPN	SN	_	_	_	_	_
119	124	x	x	X	X	_	_	_	_	_
120	125	x	x	X	X	_	_	_	_	_
121	126	x	x	X	X	_	_	_	_	_
122	127	x	x	X	X	_	_	_	_	_
123	128	ma	ma	X	X	_	_	_	_	_
124	129	šum₂-ma	šum₂-ma	DET	GN	_	_	_	_	_
125	131	LU₂}NIGIR₂-E₂.GAL	lu₂}nigir₂-e₂.gal	PROPN	V	_	_	_	_	_
126	133	LU₂}NIGIR₂-E₂.GAL	lu₂}nigir₂-e₂.gal	VERB	VERB	Gender=Masc|Mood=Prec|Number=Sing|Person=3|Ventive=Yes|VerbStem=G	_	_	_	_
127	134	x	x	X	X	_	_	_	_	_
128	135	x	x	X	X	_	_	_	_	_
129	136	x	x	X	X	_	_	_	_	_
130	137	x	x	X	X	_	_	_	_	_
131	138	x	x	X	X	_	_	_	_	_
132	140	LU₂}A-šip-ri	lu₂}a-šip-ri	NOUN	N	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
133	142	LU₂}A-šip-ri	lu₂}a-šip-ri	NOUN	NOUN	_	_	_	_	_
134	143	x	x	X	X	_	_	_	_	_
135	144	x	x	X	X	_	_	_	_	_
136	145	x	x	X	X	_	_	_	_	_
137	146	x	x	X	X	_	_	_	_	_
138	147	x	x	X	X	_	_	_	_	_
139	148	u₂-ma-a	u₂-ma-a	X	X	_	_	_	_	_
140	149	an-nu-rig	an-nu-rig	PROPN	ADV	_	_	_	_	_
141	151	LU₂}A-KIN-ia	lu₂}a-kin-ia	PROPN	EN	Gender=Masc	150	appos	_	_
142	153	LU₂}A-KIN-ia	lu₂}a-kin-ia	PROPN	EN	Gender=Masc	_	_	_	_
143	154	ša	ša	ADP	PRP	_	_	_	_	_
144	155	x	x	X	X	_	_	_	_	_
145	156	x	x	X	X	_	_	_	_	_
146	157	x	x	X	X	_	_	_	_	_
147	158	x	x	X	X	_	_	_	_	_
148	159	x	x	X	X	_	_	_	_	_
149	160	ina	ina	ADP	PRP	_	161	case	_	_
150	161	UGU	ugu	X	X	_	_	_	_	_
151	162	LUGAL	lugal	NOUN	MN	Case=Gen|Gender=Masc|Number=Sing|PossSuffNum=Plur|PossSuffPer=3	165	nmod	_	_
152	163	be-li₂-ia	be-li₂-ia	ADV	WN	_	162	nmod:poss	_	_
153	164	a-sa-par-šu₂	a-sa-par-šu₂	ADV	PRP	_	165	case	_	_
154	165	LUGAL	lugal	NOUN	N	Gender=Masc|Number=Plur|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	168	dep	_	_
155	166	be-li₂	be-li₂	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	165	nmod:poss	_	_
156	167	liš-al-šu₂	liš-al-šu₂	ADV	MOD	_	168	dep	_	SpaceAfter=No
