0	1	a-du	a-du	X	V	_	0	ROOT	_	_
46	48	gab-bi	gab-bi	NOUN	NOUN	_	_	_	_	_
47	49	x	x	X	X	_	_	_	_	_
48	50	x	x	X	X	_	_	_	_	_
49	51	x	x	X	X	_	_	_	_	_
50	52	x	x	X	X	_	_	_	_	_
51	53	x	x	X	X	_	_	_	_	_
52	54	x	x	X	X	_	_	_	_	_
53	55	x	x	X	X	_	_	_	_	_
54	56	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
55	57	KUR-aš-šur	kur-aš-šur	PROPN	PN	Gender=Masc|Number=Sing	_	_	_	_
56	58	x	x	X	X	_	_	_	_	_
57	59	x	x	X	X	_	_	_	_	_
58	60	x	x	X	X	_	_	_	_	_
59	61	x	x	X	X	_	_	_	_	_
60	62	x	x	X	X	_	_	_	_	_
61	63	x	x	X	X	_	_	_	_	_
62	64	ṭe₃-ma-ni	ṭe₃-ma-ni	X	X	_	_	_	_	_
63	65	x	x	X	X	_	_	_	_	_
64	66	x	x	X	X	_	_	_	_	_
65	67	x	x	X	X	_	_	_	_	_
66	68	x	x	X	X	_	_	_	_	_
67	69	x	x	X	X	_	_	_	_	_
68	70	x	x	X	X	_	_	_	_	_
69	71	EN.NUN	en.nun	ADJ	n	_	_	_	_	_
70	72	x	x	X	X	_	_	_	_	_
71	73	x	x	X	X	_	_	_	_	_
72	74	x	x	X	X	_	_	_	_	_
73	75	x	x	X	X	_	_	_	_	_
74	76	x	x	X	X	_	_	_	_	_
75	77	x	x	X	X	_	_	_	_	_
76	78	TA@v	ta@v	NOUN	NOUN	_	_	_	_	_
77	79	x	x	X	X	_	_	_	_	_
78	80	x	x	X	X	_	_	_	_	_
79	81	x	x	X	X	_	_	_	_	_
80	82	x	x	X	X	_	_	_	_	_
81	83	x	x	X	X	_	_	_	_	_
82	84	x	x	X	X	_	_	_	_	_
83	85	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
84	86	KUR-aš-šur	kur-aš-šur	PROPN	PN	Gender=Masc|Number=Sing	_	_	_	_
85	87	x	x	X	X	_	_	_	_	_
86	88	x	x	X	X	_	_	_	_	_
87	89	x	x	X	X	_	_	_	_	_
88	90	x	x	X	X	_	_	_	_	_
89	91	x	x	X	X	_	_	_	_	_
90	92	x	x	X	X	_	_	_	_	_
91	93	la-al-lik	la-al-lik	NOUN	X	Gender=Masc|Number=Plur	_	_	_	_
92	94	x	x	X	X	_	_	_	_	_
93	95	x	x	X	X	_	_	_	_	_
94	96	x	x	X	X	_	_	_	_	_
95	97	x	x	X	X	_	_	_	_	_
96	98	x	x	X	X	_	_	_	_	_
97	99	x	x	X	X	_	_	_	_	_
98	100	e-x	e-x	X	X	_	_	_	_	_
99	101	x	x	X	X	_	_	_	_	_
100	102	x	x	X	X	_	_	_	_	_
101	103	x	x	X	X	_	_	_	_	_
102	104	x	x	X	X	_	_	_	_	_
103	105	x	x	X	X	_	_	_	_	_
104	106	x	x	X	X	_	_	_	_	_
105	107	x	x	X	X	_	_	_	_	_
106	108	a-na	a-na	X	VERB	_	_	_	_	_
107	110	URU}x	uru}x	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
108	111	x	x	X	X	_	_	_	_	_
109	112	x	x	X	X	_	_	_	_	_
110	113	x	x	X	X	_	_	_	_	_
111	114	x	x	X	X	_	_	_	_	_
112	115	x	x	X	X	_	_	_	_	_
113	116	LUGAL	lugal	VERB	NOUN	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|VerbStem=D	_	_	_	_
114	117	be-li₂	be-li₂	NOUN	N	Gender=Fem|Number=Sing|PossSuffNum=Sing|PossSuffPer=1	_	_	_	_
115	118	x	x	X	X	_	_	_	_	_
116	119	x	x	X	X	_	_	_	_	_
117	120	x	x	X	X	_	_	_	_	_
118	121	x	x	X	X	_	_	_	_	_
119	122	x	x	X	X	_	_	_	_	_
120	123	x	x	X	X	_	_	_	_	_
121	124	x+x	x+x	X	X	_	_	_	_	_
122	125	x	x	X	X	_	_	_	_	_
123	126	x	x	X	X	_	_	_	_	_
124	127	x	x	X	X	_	_	_	_	_
125	128	x	x	X	X	_	_	_	_	_
126	129	x	x	X	X	_	_	_	_	_
127	130	x	x	X	X	_	_	_	_	_
128	131	x	x	X	X	_	_	_	_	_
129	132	x	x	X	X	_	_	_	_	SpaceAfter=No
