tlemma,slemma,rlemma,tidx,sidx,ridx,tword,sword,rword,pcom,sennum,tnum,Translation,Speaker,Addressee,Sender,Recipient,Document_type,Verb_metaphor_status,Verb_metonymy_status,PP_type,PP_metaphor_status,PP_metonymy_status,Bad_analysis,Notes
mahāru,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s41_39,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s41_38,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s41_37,lihhura,pānikunu,,http://oracc.org/saao/saa13/P334130,41,41,he should then receive the shearings in your presence.,,,,,,Basic,,AJ,Basic,,,
izuzzu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_139,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_135,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_134,ussazziz,muhhi,,http://oracc.org/saao/saa13/P334641,42,42,the king's father set up golden bottles of ...-liter capacity (with) royal images on them,,,,,,,,,,,x,
paqādu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_125,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_123,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_122,uptaqqid,libbi,,http://oracc.org/saao/saa13/P334641,42,42,He has appointed officials of his own choosing in the temple.,,,,,,Literal,,AJ,Basic,,,uncertain
malû,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_149,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_146,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_145,umallû,pān,,http://oracc.org/saao/saa13/P334641,42,42,They would fill with wine the one in front of Bel and the one in front of Nabû.,,,,,,,,,,,x,
paṭāru,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_233,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_228,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_227,ippaṭṭāra,libbi,,http://oracc.org/saao/saa13/P334641,42,42,(There) twice a year the loins of Marduk are ungirded.,,,,,,Literal,,AJ,Basic,,,
petû,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_217,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_215,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_214,ipatte,pānīšu,,http://oracc.org/saao/saa13/P334641,42,42,he is the one to open and seal them/ina IGI-⸢šú*⸣ šu-ú ⸢i⸣-pat-te i-⸢kan*⸣-nak,,,,,,Literal,,AJ,Basic,,,
izuzzu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_99,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_98,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_97,izzazūni,muhhi,,http://oracc.org/saao/saa13/P334641,42,42,the dragons upon which Nabû stands,,,,,,Literal,,EA,Basic,,,
nehelṣû,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s48_12,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s48_11,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s48_10,ittahalṣi,libbišunu,,http://oracc.org/saao/saa13/P334796,48,48,one of them slipped/01-en ina ŠÀ-bi-šú-nu,,,,,,,,,,,x,
hiāṭu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s58_61,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s58_60,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s58_59,lihīṭi,libbi,,http://oracc.org/saao/saa13/P334362,58,58,and we[igh out] the gold [for the statue] with it.,,,,,,Literal,M,AJ,Basic+,,,
ṣabātu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s59_76,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s59_74,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s59_73,uṣṣabbit,pānīya,,http://oracc.org/saao/saa13/P334096,59,59,"(But) Nabû-ahhe-šallim captured temple thieves before me/        
ina pa-ni-ia mdPA—PAB-MEŠ—DI ú-ṣab-bit",,,,,,Literal,,AJ,Basic,,,
sahāru,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s5_75,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s5_73,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s5_72,ishurūni,muhhi,,http://oracc.org/saao/saa13/P334870,5,5,and the cupbearer returned from Calah for the rations,,,,,,Literal,,AJ,Basic,,,ina muhhi can mean 'for purpose of'
alāku,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s82_42,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s82_40,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s82_39,illak,libbi,,http://oracc.org/saao/saa13/P334244,82,82,"What is going into the ritual?"" /  mi-i-nu ina ŠÀ dul-li il-lak",,,,,,Basic+,,EA,Basic+,,,
amāru,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s84_34,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s84_29,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s84_28,ittammar,muhhi,,http://oracc.org/saao/saa13/P334243,84,84,a katarru-fungus on the walls of the central storehouse (has appeared),,,,,,Literal,,EA,Basic,,,
elû,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s89_18,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s89_16,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s89_15,tēlûni,muhhi,,http://oracc.org/saao/saa13/P334738,89,89,The day when Ištar went up (in procession) on the w[all],,,,,,Literal,,EA,Basic,,,
alāku,libbu,ištu,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s143_61,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s143_56,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s143_55,illaka,libbi,,http://oracc.org/saao/saa13/P334016,143,143,From the threshing floor of the palace he will come to the garden.,,,,,,Literal,,EA,Basic,,,ištu libbi = from within
nasāhu,libbu,ištu,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s75_131,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s75_129,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s75_128,uttassihu,libbi,,http://oracc.org/saao/saa13/P334340,75,75,they removed 8 silver bands from the walls.,,,,,,Literal,,EA,Basic,,,
šapāru,pānu,ana,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_155,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_153,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_152,altapraššunūti,pān,,http://oracc.org/saao/saa13/P336737,127,127,I sent them to the king/a-na pa-an LUGAL al-tap-raš-šú-nu-ti,,,,,,Literal,,EA,Basic,,,ana pan = to before the king
hiāṭu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s58_41,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s58_40,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s58_39,ihīṭūni,libbi,,http://oracc.org/saao/saa13/P334362,58,58,"The ... with which they weigh(ed)(i-ḫi-ṭu-u-ni) the gold are in the treasury, a sealed building.",,,,,,Literal,M,AJ,Basic+,,,ina libbi = by means of
hiāṭu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s79_35,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s79_26,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s79_25,nihtīaṭ,libbi,,http://oracc.org/saao/saa13/P334669,79,79,we have now weighed out the gold and silver which are the property of Sin (ina libbi NIG2.GA),,,,,,,,,,,x,
qerēbu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s41_35,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s41_34,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s41_33,luqarribu,pānikunu,,http://oracc.org/saao/saa13/P334130,41,41,They should make the delivery to you,,,,,,Literal,,EA,Basic,,,
qatû,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_39,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_38,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_37,uqattû,pānīya,,http://oracc.org/saao/saa13/P336737,127,127,As soon as he has finished with me here/a-di ina pa-ni-ía ú-qat-tu-ú?,,,,,,Literal,,AJ,Basic,,,
bakû,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_151,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_148,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_147,labki,pān,,http://oracc.org/saao/saa13/P334756,138,138,"I may weep before all the lands,",,,,,,Literal,,AJ,Basic+,,,Literary tone
wadû,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_49,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_47,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s33_46,ūdašû,libbi,,http://oracc.org/saao/saa13/P334654,33,33,"How do I know it?/        
⸢ina* ŠÀ*⸣ mì-nim? ú-⸢da⸣-šú-u",,,,,,Literal,,AJ,Basic+,,,
ašābu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_87,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_86,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_85,ussēšib,muhhi,,http://oracc.org/saao/saa13/P334641,42,42,"As for the golden table of [Mar]duk, which Sargon had made, he assigned a goldsmith to it/        
LÚ.SIMUG.KUG.GI ina UGU-ḫi us-se*-ši-ib",,,,,,Basic+,,EA,Basic+,,,Why use wašābu for assignment instead of paqādu?
tadānu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s63_60,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s63_58,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s63_57,addan,libbi,,http://oracc.org/saao/saa13/P334515,63,63,therefore I [cannot] give them./ ina ŠÀ-bi [la] a-danan,,,,,,Literal,,AJ,Basic+,,,ina libbi = for that reason
alāku,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s67_33,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s67_29,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s67_28,tallikanni,pān,,http://oracc.org/saao/saa13/P334364,67,67,"When the sealed order of the king, my lord, came before the servants of Ištar/        
UD-mu ša un-qu  
ša LUGAL EN-ia     
ina IGI LÚv.ARAD-MEŠ-ni    
ša d15 ta-lik-an-ni",,,,,,Literal,,EA,Basic,,,ina pan = come before
târu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s75_63,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s75_58,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s75_57,uttīr,pān,,http://oracc.org/saao/saa13/P334340,75,75,"I turned in a report to the father of the king, my lord./        
ṭè-e-mu ina IGI AD-šú  
ša LUGAL EN-ia ú-tir",,,,,,Literal,,EA,Basic,,,
kašādu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s99_70,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s99_69,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s99_68,akaššad,libbi,,http://oracc.org/saao/saa13/P334095,99,99,"[L]et the [t]hrone go! I shall overcome my king's enemies with it.""/LÚ.KÚR-MEŠ    
ša LUGAL-ia ina ŠÀ-bi a-ka-šad",,,,,,Literal,M,AJ,Basic+,,,
šemû,pānu,ištu,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_46,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_43,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s149_42,lišme,pāni,,http://oracc.org/saao/saa13/P334121,149,149,"let the king hear [everything] about it/        
TAv pa-ni LUGAL [gab-bu?] liš!-me ",,,,,,,,,,,,unclear
izuzzu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_172,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_169,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s42_168,izzizūni,pān,,http://oracc.org/saao/saa13/P334641,42,42,when my father supervised the house of eunuchs,,,,,,Basic+,M,EA,Basic+,,,
maqātu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s128_50,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s128_46,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s128_45,imaqqut,libbi,,http://oracc.org/saao/saa13/P334766,128,128,"How will the king, my lord, fall under the gaze ('within the eyes') of Ištar?/ ina ŠÀ IGI.2 ša dINNIN i-ma-qut ",,,,,,Basic+,,EA,Basic+,,,Note the opposite expression: 'his gaze/eyes fell upon him'. Literary?
petû,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s133_50,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s133_46,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s133_45,aptûni,muhhi,,http://oracc.org/saao/saa13/P334287,133,133,"When I opened negotiations with them/ina UGU ša pi-i 
is-si-šú-nu ap-tu-u-ni",,,,,,,,,,,x,
maqātu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s133_63,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s133_61,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s133_60,amaqqut,muhhišunu,,http://oracc.org/saao/saa13/P334287,133,133,I am not strong enough to fall upon them,,,,,,Basic+,,EA,Basic+,,,
dagālu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s135_116,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s135_114,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s135_113,nidaggal,pān,,http://oracc.org/saao/saa13/P334067,135,135,We are awaiting the rites(?).,,,,,,Basic+,,EA,Basic+,,,
ašāru,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_142,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_140,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_139,umaššaranni,qātēšunu,,http://oracc.org/saao/saa13/P334871,32,32,The king must not deliver ('release') me into their hands,,,,,,Basic+,,EA,Basic+,,,
laššu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s55_139,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s55_138,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s55_137,lāšu,pānīšu,,http://oracc.org/saao/saa13/P334784,55,55,"But he has no work allotment yet at his disposal/        
ÉŠ.QAR me-me-ni ina pa-ni-šú la-a-šú ",,,,,,Basic+,,EA,Basic+,,,
mahāru,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s5_68,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s5_66,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s5_65,ihharūni,muhhi,,http://oracc.org/saao/saa13/P334870,5,5,"when the deportees petitioned for barley rations/        
ù LÚv*.šag-lu-te ina UGU ŠE.PAD-MEŠ         
iḫ-ḫa-ru-u-ni",,,,,,Literal,,AJ,Basic+,M,,
