tlemma,slemma,rlemma,tidx,sidx,ridx,tword,sword,rword,pcom,sennum,tnum,Translation,Speaker,Addressee,Sender,Recipient,Document_type,Verb_metaphor_status,Verb_metonymy_status,PP_type,PP_metaphor_status,PP_metonymy_status,Bad_analysis,Notes
šakānu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s125_116,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s125_114,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s125_113,issakan,muhhi,,http://oracc.org/saao/saa16/P334433,125,125,,,,,,,,,,,,,
šapāru,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s125_51,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s125_49,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s125_48,išpuranni,qātē,,http://oracc.org/saao/saa16/P334433,125,125,"my lord, wrote to me via Zabinu:",,,,,,Literal,M,AJ,Basic+,,,
šaṭāru,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s125_34,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s125_33,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s125_32,nišṭur,muhhi,,http://oracc.org/saao/saa16/P334433,125,125,"We shall write the name of the king, my lord, on the foundation stone",,,,,,Literal,,EA,Basic,,,
alāku,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_216,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_214,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_213,ittalak,muhhi,,http://oracc.org/saao/saa16/P313641,127,127,,,,,,,,,,,,,
alāku,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_180,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_178,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_177,ittalak,muhhi,,http://oracc.org/saao/saa16/P313641,127,127,,,,,,,,,,,,,
qabû,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_30,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_28,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s127_27,qibia,pānīka,,http://oracc.org/saao/saa16/P313641,127,127,,,,,,,,,,,,x,
buʾʾû,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s128_47,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s128_46,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s128_45,ubaʾʾa,qātīka,,http://oracc.org/saao/saa16/P334551,128,128,I shall hold you responsible for the work of your lord's household,,,,,,Basic+,,EA,Basic+,,,General?
etēqu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s130_65,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s130_63,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s130_62,ettiqūni,pān,,http://oracc.org/saao/saa16/P334639,130,130,the emissaries of all the countries pass [bef]ore your father,,,,,,Literal,,AJ,Basic,,,
tadānu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s130_33,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s130_24,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s130_23,attidin,pān,,http://oracc.org/saao/saa16/P334639,130,130,,,,,,,,,,,,x,
šapāru,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s139_17,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s139_12,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s139_11,tašpurinni,muhhi,,http://oracc.org/saao/saa16/P334192,139,139,,,,,,,,,,,,,
ṣabātu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s13_63,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s13_62,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s13_61,iṣṣabtūni,qātēšunu,,http://oracc.org/saao/saa16/P334131,13,13,"The fifty men who were under his command, took twelve horses in their hands and came (back)",,,,,,Literal,,AJ,Basic,,,
harādu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s13_129,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s13_125,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s13_124,lihhirid,muhhi,,http://oracc.org/saao/saa16/P334131,13,13,"With regard to Sippar, may the king, my lord, be vigilant, so we can relax.",,,,,,,,,,,,
erēbu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s141_60,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s141_58,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s141_57,errab,libbi,,http://oracc.org/saao/saa16/P334599,141,141,,,,,,,,,,,,,
ṭiābu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_21,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_18,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s144_17,luṭībbu,muhhi,,http://oracc.org/saao/saa16/P334416,144,144,[may] they [ma]ke the outcome of your good deeds pleasing [to a]ll the gods.,,,,,,Literal,,AJ,Basic+,,,ina muhhi = to/for gods
alāku,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s14_46,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s14_43,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s14_42,ittalka,pānīya,ina,http://oracc.org/saao/saa16/P334640,14,14,Now then one shepherd has come to me to Calah.,,,,,,Literal,,EA,Basic,,,
kanāku,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s159_138,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s159_136,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s159_135,liknuku,libbi,,http://oracc.org/saao/saa16/P334299,159,159,let it be sealed with the cross-shaped (stamp) seal,,,,,,Literal,,AJ,Basic+,,,
wabālu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s159_149,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s159_144,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s159_143,lūbila,libbi,,http://oracc.org/saao/saa16/P334299,159,159,"quickly bring it to me by express delivery (ina libbi X).""",,,,,,Literal,,AJ,Basic+,,,
šakānu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s159_94,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s159_92,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s159_91,tašakkanšunu,qātē,,http://oracc.org/saao/saa16/P334299,159,159,you are to put him immediately in the hands of your messenger,,,,,,Basic+,,EA,Basic+,,,
maqātu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s159_88,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s159_87,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s159_86,imaqquta,muhhišunu,,http://oracc.org/saao/saa16/P334299,159,159,"Should a deserter from M[annea, Medi]a or Hubu[ški]a fall in their hands (ina muhhišunu)",,,,,,Basic+,,EA,Basic+,,,"Note how this means: 'he falls into/among them', not 'he falls/is put in their hands'"
dabābu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s165_18,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s165_15,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s165_14,idbubūni,muhhi,,http://oracc.org/saao/saa16/P313841,165,165,the same household about which my lord spoke with the rab mūgi,,,,,,Literal,,EA,Basic,,,
izuzzu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s168_110,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s168_106,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s168_105,lizzīzi,libbi,,http://oracc.org/saao/saa16/P334548,168,168,,,,,,,,,,,,x,
,,,,,,izzuzzu,pānātu,,,168,168,let a messenger stay at our disposal,,,,,,General,,,,,,Not found by parser
wabālu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s168_98,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s168_96,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s168_95,nubbalšu,libbi,,http://oracc.org/saao/saa16/P334548,168,168,We cannot bring him there without the king('s permission).,,,,,,Literal,,EA,Basic,,,
tamû,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s170_77,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s170_75,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s170_74,attama,libbi,,http://oracc.org/saao/saa16/P334492,170,170,I swear by the gods,,,,,,Literal,,EA,Basic+,,,Is this only example of Literal-EA-Basic+ combo? Perhaps b/c 'to swear' is not analyzed
emēdu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s172_73,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s172_72,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s172_71,ummudu,muhhi,,http://oracc.org/saao/saa16/P334702,172,172,They will set to [work and do it].,,,,,,Basic+,,EA,Basic+,,,
alāku,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s177_67,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s177_64,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s177_63,illak,pānīšu,,http://oracc.org/saao/saa16/P313790,177,177,He should not go [befo]re him (ambiguous meaning?),,,,,,Literal,,EA,Basic,,,
epēšu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s17_28,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s17_27,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s17_26,eppaš,libbi,,http://oracc.org/saao/saa16/P334853,17,17,He will make there,,,,,,Literal,,AJ,Basic,,,
dabābu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s181_85,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s181_73,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s181_72,addubūbu,muhhi,,http://oracc.org/saao/saa16/P334033,181,181,,,,,,,,,,,,,
dabābu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s181_89,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s181_87,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s181_86,idabbub,muhhi,,http://oracc.org/saao/saa16/P334033,181,181,,,,,,,,,,,,,
šapāru,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s187_49,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s187_46,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s187_45,lišpuru,muhhi,,http://oracc.org/saao/saa16/P313918,187,187,,,,,,,,,,,,,
wadû,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s198_218,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s198_212,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s198_211,ūda,libbi,,http://oracc.org/saao/saa16/P334666,198,198,May I know [the brooms in] the palace of the king!,,,,,,,,,,,x,
šakānu,šēpu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s198_89,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s198_88,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s198_87,išakkan,šēpēšu,,http://oracc.org/saao/saa16/P334666,198,198,"He provides for anyone who comes to him/he sets on his way, (KASKAL.2 ina GIR3-šu išakkan)",,,,,,Basic+,,EA,Basic+,,,Unclear analysis. Note it is not 'set his feet on the path'
arādu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s200_25,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s200_23,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s200_22,ušēridūni,libbi,ina,http://oracc.org/saao/saa16/P334292,200,200,"the objects of Umban-kidinni, which Riši-ilu the 'third man' brought down on a boat",,,,,,Literal,,EA,Basic,,,
ašāru,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s200_31,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s200_27,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s200_26,ētašru,libbi,,http://oracc.org/saao/saa16/P334292,200,200,they have checked them according to the writing-board and received them in the city of Sudanina.,,,,,,,,,,,x,
dabābu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s201_44,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s201_42,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s201_41,idabbabūni,muhhi,,http://oracc.org/saao/saa16/P314347,201,201,,,,,,,,,,,,,
šakānu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s201_48,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s201_47,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s201_46,išakkanušunu,qātēka,,http://oracc.org/saao/saa16/P314347,201,201,"[Those who sin against] your father's [goodness, your father's and your own] treaty, and who [plot] against your life, shall be placed [in yo]ur [hands],",,,,,,Basic+,,EA,Basic+,,,
haṭû,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s201_39,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s201_26,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s201_25,ihaṭṭûni,libbi,,http://oracc.org/saao/saa16/P314347,201,201,"[Those who sin against] your father's [goodness, your father's and your own] treaty (ina ŠÀ a-de-e-ka] [i-ḫa-ṭu-u-ni])",,,,,,Literal,,AJ,Basic+,,,Unanalyzed verb
šâṭu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s201_67,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s201_64,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s201_63,išīaṭ,libbi,,http://oracc.org/saao/saa16/P314347,201,201,"the king, my lord, should n[ot] be ne[glectful] about it. (ina libbi)",,,,,,Literal,,EA,Basic+,,,Unanalyzed verb
qerēbu,idu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s206_12,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s206_8,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s206_7,iqrībi,nīdi,,http://oracc.org/saao/saa16/P334408,206,206,,,,,,,,,,,,x,
šalāmu,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s211_166,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s211_165,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s211_164,lišlimu,qātēya,,http://oracc.org/saao/saa16/P334844,211,211,Two or three reports should be completed by my hand,,,,,,Literal,,AJ,Literal?,,,
izuzzu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s211_153,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s211_150,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s211_149,izzissūni,pān,,http://oracc.org/saao/saa16/P334844,211,211,who did not stand with us before the magnates,,,,,,Literal,,EA,Basic,,,
