0	1	si-x	si-x	X	X	_	0	ROOT	_	_
48	49	x	x	X	X	_	_	_	_	_
49	50	x	x	X	X	_	_	_	_	_
50	51	x	x	X	X	_	_	_	_	_
51	52	x	x	X	X	_	_	_	_	_
52	53	x	x	X	X	_	_	_	_	_
53	54	x	x	X	X	_	_	_	_	_
54	55	x	x	X	X	_	_	_	_	_
55	56	gu-x	gu-x	X	X	_	_	_	_	_
56	57	x	x	X	X	_	_	_	_	_
57	58	x	x	X	X	_	_	_	_	_
58	59	x	x	X	X	_	_	_	_	_
59	60	x	x	X	X	_	_	_	_	_
60	61	x	x	X	X	_	_	_	_	_
61	62	x	x	X	X	_	_	_	_	_
62	63	x	x	X	X	_	_	_	_	_
63	64	x	x	X	X	_	_	_	_	_
64	65	ib-ba-aš₂-ši	ib-ba-aš₂-ši	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
65	66	x	x	X	X	_	_	_	_	_
66	67	x	x	X	X	_	_	_	_	_
67	68	x	x	X	X	_	_	_	_	_
68	69	x	x	X	X	_	_	_	_	_
69	70	u₂-še-ṣa-an-ni	ušēṣanni	VERB	VERB	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Pres|Ventive=Yes|VerbForm=Fin|VerbStem=D	_	_	_	_
70	71	x	x	X	X	_	_	_	_	_
71	72	x	x	X	X	_	_	_	_	_
72	73	x	x	X	X	_	_	_	_	_
73	74	x	x	X	X	_	_	_	_	_
74	75	x	x	X	X	_	_	_	_	_
75	76	x	x	X	X	_	_	_	_	_
76	77	LUGAL-u-tu₂	lugal-u-tu₂	NOUN	N	Gender=Fem|Number=Sing	78	obj	_	_
77	78	id-dan-x	id-dan-x	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|VerbStem=G	_	_	_	_
78	79	x	x	X	X	_	_	_	_	_
79	80	x	x	X	X	_	_	_	_	_
80	81	x	x	X	X	_	_	_	_	_
81	82	x	x	X	X	_	_	_	_	_
82	83	x	x	X	X	_	_	_	_	_
83	84	ša	ša	ADP	PRP	_	85	case	_	_
84	85	KUR.KUR	kur.kur	NOUN	NOUN	Case=Gen|Gender=Fem|Number=Sing	_	_	_	_
85	86	gab-bu	gabbu	DET	DET	_	_	_	_	_
86	87	x	x	X	X	_	_	_	_	_
87	88	x	x	X	X	_	_	_	_	_
88	89	x	x	X	X	_	_	_	_	_
89	90	x	x	X	X	_	_	_	_	_
90	91	x	x	X	X	_	_	_	_	_
91	92	UD-mu	ud-mu	NOUN	NOUN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
92	93	ša₂	ša	PRON	PRON	_	_	_	_	_
93	94	tap-x+x	tap-x+x	X	X	_	_	_	_	_
94	95	x	x	X	X	_	_	_	_	_
95	96	x	x	X	X	_	_	_	_	_
96	97	x	x	X	X	_	_	_	_	_
97	98	x	x	X	X	_	_	_	_	_
98	99	x	x	X	X	_	_	_	_	_
99	100	u	u	CONJ	CNJ	_	102	cc	_	_
100	101	ša₂	ša	PRON	DET	_	102	case	_	_
101	102	ke-nu-ni	kēnūni	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
102	103	x	x	X	X	_	_	_	_	_
103	104	x	x	X	X	_	_	_	_	_
104	105	x	x	X	X	_	_	_	_	_
105	106	x	x	X	X	_	_	_	_	_
106	107	x	x	X	X	_	_	_	_	_
107	108	lu-ur-ri-ik	lu-ur-ri-ik	VERB	VERB	Gender=Com|Mood=Prec|Number=Sing|Person=1|VerbStem=G	_	_	_	_
108	109	x	x	X	X	_	_	_	_	_
109	110	x	x	X	X	_	_	_	_	_
110	111	x	x	X	X	_	_	_	_	_
111	112	x	x	X	X	_	_	_	_	_
112	113	x	x	X	X	_	_	_	_	_
113	114	u₂-x	u₂-x	X	X	_	_	_	_	_
114	115	x	x	X	X	_	_	_	_	_
115	116	x	x	X	X	_	_	_	_	_
116	117	x	x	X	X	_	_	_	_	_
117	118	x	x	X	X	_	_	_	_	_
118	119	x	x	X	X	_	_	_	_	_
119	120	x	x	X	X	_	_	_	_	_
120	121	x	x	X	X	_	_	_	_	_
121	122	x	x	X	X	_	_	_	_	_
122	123	x	x	X	X	_	_	_	_	_
123	124	x	x	X	X	_	_	_	_	_
124	125	x	x	X	X	_	_	_	_	_
125	126	x	x	X	X	_	_	_	_	_
126	127	{MI₂}KALAG-ša₂-a-mur	{mi₂}kalag-ša₂-a-mur	PROPN	PN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
127	128	ma-a	mā	PART	Quotative	_	_	_	_	_
128	129	x	x	X	X	_	_	_	_	_
129	130	x	x	X	X	_	_	_	_	_
130	131	x	x	X	X	_	_	_	_	_
131	132	x	x	X	X	_	_	_	_	_
132	133	x	x	X	X	_	_	_	_	_
133	134	x	x	X	X	_	_	_	_	_
134	135	x	x	X	X	_	_	_	_	_
135	136	x	x	X	X	_	_	_	_	_
136	137	x	x	X	X	_	_	_	_	_
137	138	x	x	X	X	_	_	_	_	_
138	139	x	x	X	X	_	_	_	_	_
139	140	x	x	X	X	_	_	_	_	_
140	141	x	x	X	X	_	_	_	_	_
141	142	ma-a	mā	PART	Quotative	_	143	discourse	_	_
142	143	{MI₂}GUB.BA	{mi₂}gub.ba	NOUN	N	Case=Nom|Gender=Masc|Number=Plur	_	_	_	_
143	144	ša₂	ša	ADP	DET	_	143	dep	_	_
144	145	ra-x	ra-x	X	X	_	_	_	_	_
145	146	x	x	X	X	_	_	_	_	_
146	147	x	x	X	X	_	_	_	_	_
147	148	x	x	X	X	_	_	_	_	_
148	149	x	x	X	X	_	_	_	_	_
149	150	x	x	X	X	_	_	_	_	_
150	151	x	x	X	X	_	_	_	_	_
151	152	x	x	X	X	_	_	_	_	_
