0	1	a-bat	abat	NOUN	NOUN	Gender=Fem|NounBase=Bound|Number=Sing	0	ROOT	_	_
43	44	x	x	X	X	_	_	_	_	_
44	45	1	1	NUM	NU	_	46	nummod	_	_
45	46	{d}NIN.URTA	{d}nin.urta	PROPN	DN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
46	47	15	15	NUM	N	_	_	_	_	_
47	48	u	u	CONJ	CNJ	_	49	cc	_	_
48	49	150	150	NUM	NUM	_	47	conj	_	_
49	50	ša	ša	PRON	PRON	_	_	_	_	_
50	51	x	x	X	X	_	_	_	_	_
51	52	x	x	X	X	_	_	_	_	_
52	53	x	x	X	X	_	_	_	_	_
53	54	x	x	X	X	_	_	_	_	_
54	55	x	x	X	X	_	_	_	_	_
55	56	a.a-bi-šu₂	a.a-bi-šu₂	NOUN	N	Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	59	obj	_	_
56	57	ina	ina	ADP	PRP	_	58	case	_	_
57	58	KI.TA	ki.ta	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	59	obl	_	_
58	59	GIR₃.2-šu₂	gir₃.2-šu₂	VERB	N	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
59	60	x	x	X	X	_	_	_	_	_
60	61	x	x	X	X	_	_	_	_	_
61	62	x	x	X	X	_	_	_	_	_
62	63	x	x	X	X	_	_	_	_	_
63	64	x	x	X	X	_	_	_	_	_
64	65	x	x	X	X	_	_	_	_	_
65	66	ina	ina	ADP	ADP	_	67	case	_	_
66	67	E₂.GAL	e₂.gal	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	69	obl	_	_
67	68	EDIN	edin	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	67	nmod:poss	_	_
68	69	u₂-ṣa	uṣṣa	VERB	V	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Perf|VerbForm=Fin|VerbStem=D	_	_	_	_
69	70	x	x	X	X	_	_	_	_	_
70	71	x	x	X	X	_	_	_	_	_
71	72	x	x	X	X	_	_	_	_	_
72	73	x	x	X	X	_	_	_	_	_
73	74	x	x	X	X	_	_	_	_	_
74	75	x	x	X	X	_	_	_	_	_
75	76	tu-qu-un	tu-qu-un	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|VerbStem=G	_	_	_	_
76	77	a-na	ana	ADP	PRP	_	78	case	_	_
77	78	{1}aš-šur-PAB-AŠ	{1}aš-šur-pab-aš	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	81	obl	_	_
78	79	MAN	man	NOUN	N	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	78	appos	_	_
79	80	KUR-aš-šur	kur-aš-šur	PROPN	GN	Case=Gen|Gender=Fem|Number=Sing	79	nmod:poss	_	_
80	81	ad-dan	addan	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
81	82	{LU₂}KUR₂-MEŠ-šu₂	{lu₂}kur₂-meš-šu₂	NOUN	N	Gender=Masc|Number=Plur|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	81	conj	_	_
82	83	ina	ina	ADP	ADP	_	84	case	_	_
83	84	ŠA₃	ša₃	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
84	85	x+x	x+x	X	X	_	_	_	_	_
85	86	x	x	X	X	_	_	_	_	_
86	87	x	x	X	X	_	_	_	_	_
87	88	x	x	X	X	_	_	_	_	_
88	89	x	x	X	X	_	_	_	_	_
89	90	x	x	X	X	_	_	_	_	_
90	91	x	x	X	X	_	_	_	_	_
91	92	x	x	X	X	_	_	_	_	_
92	93	x	x	X	X	_	_	_	_	_
93	94	x	x	X	X	_	_	_	_	_
94	95	u₂-ba-x	u₂-ba-x	X	X	_	_	_	_	_
95	96	x	x	X	X	_	_	_	_	_
96	97	x	x	X	X	_	_	_	_	_
97	98	x	x	X	X	_	_	_	_	_
98	99	x	x	X	X	_	_	_	_	_
99	100	x	x	X	X	_	_	_	_	_
100	101	x	x	X	X	_	_	_	_	_
101	102	x	x	X	X	_	_	_	_	_
102	103	x	x	X	X	_	_	_	_	_
103	104	x	x	X	X	_	_	_	_	_
104	105	{LU₂}KUR₂	{lu₂}kur₂	NOUN	N	Gender=Fem|Number=Sing	_	_	_	_
105	106	ša	ša	PRON	PRON	_	_	_	_	_
106	107	x	x	X	X	_	_	_	_	_
107	108	x	x	X	X	_	_	_	_	_
108	109	x	x	X	X	_	_	_	_	_
109	110	x	x	X	X	_	_	_	_	_
110	111	x	x	X	X	_	_	_	_	_
111	112	x	x	X	X	_	_	_	_	_
112	113	x	x	X	X	_	_	_	_	_
113	114	x	x	X	X	_	_	_	_	_
114	115	x	x	X	X	_	_	_	_	_
115	116	{LU₂}KUR₂	{lu₂}kur₂	NOUN	N	Gender=Fem|Number=Sing	_	_	_	_
116	117	ša	ša	PRON	PRON	_	_	_	_	_
117	118	lum	lum	X	X	_	_	_	_	_
118	119	x	x	X	X	_	_	_	_	_
119	120	x	x	X	X	_	_	_	_	_
120	121	ina	ina	ADP	ADP	_	122	case	_	_
121	122	IGI	igi	NOUN	NOUN	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	124	obl	_	_
122	123	GIR₃.2-MEŠ-šu₂	gir₃.2-meš-šu₂	NOUN	N	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	122	nmod	_	_
123	124	ni-ik-ru-ur	nikrur	VERB	VERB	Gender=Com|Mood=Ind|Number=Plur|Person=1|Subordinative=No|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
124	125	ni-il-x	ni-il-x	X	X	_	_	_	_	_
125	126	x	x	X	X	_	_	_	_	_
126	127	x	x	X	X	_	_	_	_	_
127	128	x	x	X	X	_	_	_	_	_
128	129	x	x	X	X	_	_	_	_	_
129	130	x	x	X	X	_	_	_	_	_
130	131	{d}NIN.LIL₂	{d}nin.lil₂	PROPN	DN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
131	132	dul-la	dul-la	VERB	VERB	Gender=Masc|Mood=Imp|Number=Sing|Person=2|VerbStem=G	_	_	_	_
132	133	x	x	X	X	_	_	_	_	_
133	134	x	x	X	X	_	_	_	_	_
134	135	x	x	X	X	_	_	_	_	_
135	136	x	x	X	X	_	_	_	_	_
136	137	x	x	X	X	_	_	_	_	_
137	138	x	x	X	X	_	_	_	_	_
138	139	ša	ša	ADP	ADP	_	140	case	_	_
139	140	{d}UTU	{d}utu	PROPN	DN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
140	141	ši-na	šina	VERB	DET	Gender=Masc|Mood=Imp|Number=Sing|Person=2|VerbStem=Š	140	nsubj	_	_
141	142	EN	en	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	_	_	_	_
142	143	AD-u-a	ad-u-a	VERB	GN	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|VerbStem=G	142	nmod:poss	_	_
143	144	u₂-za-x	u₂-za-x	X	X	_	_	_	_	_
144	145	x	x	X	X	_	_	_	_	_
145	146	x	x	X	X	_	_	_	_	_
146	147	x	x	X	X	_	_	_	_	_
147	148	x	x	X	X	_	_	_	_	_
148	149	x	x	X	X	_	_	_	_	_
