0	1	abat	awātu	NOUN	N	Case=Nom|Gender=Fem|NounBase=Bound|Number=Sing	0	ROOT	_	_
30	31	x	x	X	X	_	_	_	_	_
31	32	x	x	X	X	_	_	_	_	_
32	33	x	x	X	X	_	_	_	_	_
33	34	x	x	X	X	_	_	_	_	_
34	35	ša	ša	ADP	PRP	_	36	case	_	_
35	36	Aššur-ahu-iddina	aššur-ahu-iddina	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
36	37	šar	šarru	NOUN	N	Case=Gen|Focus=No|Gender=Masc|NounBase=Bound|Number=Sing	36	appos	_	_
37	38	Mat-Aššur	mat-aššur	PROPN	GN	Case=Gen|Gender=Fem|Number=Sing	37	nmod:poss	_	_
38	39	x	x	X	X	_	_	_	_	_
39	40	x	x	X	X	_	_	_	_	_
40	41	x	x	X	X	_	_	_	_	_
41	42	x	x	X	X	_	_	_	_	_
42	43	x	x	X	X	_	_	_	_	_
43	44	x	x	X	X	_	_	_	_	_
44	45	1	1	NUM	NU	_	_	_	_	_
45	46	Inurta	inurta	PROPN	DN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
46	47	imittu	imittu	NOUN	N	Case=Acc|Gender=Fem|NounBase=Free|Number=Sing	_	_	_	_
47	48	u	u	CONJ	CNJ	_	49	cc	_	_
48	49	šumēlu	šumēlu	NOUN	N	Case=Acc|Gender=Masc|Number=Sing	47	conj	_	_
49	50	ša	ša	ADP	PRP	_	_	_	_	_
50	51	x	x	X	X	_	_	_	_	_
51	52	x	x	X	X	_	_	_	_	_
52	53	x	x	X	X	_	_	_	_	_
53	54	x	x	X	X	_	_	_	_	_
54	55	x	x	X	X	_	_	_	_	_
55	56	ayyābīšu	ayyābu	NOUN	N	Gender=Masc|Number=Plur|Case=Acc|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	_	_	_	_
56	57	ina	ina	ADP	PRP	_	58	case	_	_
57	58	šapal	šaplu	NOUN	N	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	_	_	_	_
58	59	šēpēšu	šēpu	NOUN	N	Case=Gen|Gender=Masc|Number=Plur|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	58	nmod	_	_
59	60	x	x	X	X	_	_	_	_	_
60	61	x	x	X	X	_	_	_	_	_
61	62	x	x	X	X	_	_	_	_	_
62	63	x	x	X	X	_	_	_	_	_
63	64	x	x	X	X	_	_	_	_	_
64	65	x	x	X	X	_	_	_	_	_
65	66	ina	ina	ADP	PRP	_	67	case	_	_
66	67	ēkalli	ēkallu	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	69	iobj	_	_
67	68	ṣēri	ṣēru	NOUN	N	Case=Gen|Focus=No|Gender=Masc|NounBase=Free|Number=Sing	67	nmod	_	_
68	69	uṣṣa	aṣû	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Pres|Ventive=Yes|VerbForm=Fin|VerbStem=G	_	_	_	_
69	70	x	x	X	X	_	_	_	_	_
70	71	x	x	X	X	_	_	_	_	_
71	72	x	x	X	X	_	_	_	_	_
72	73	x	x	X	X	_	_	_	_	_
73	74	x	x	X	X	_	_	_	_	_
74	75	x	x	X	X	_	_	_	_	_
75	76	tuqun	tuqnu	NOUN	N	Gender=Masc|Number=Sing|Case=Acc	81	obj	_	_
76	77	ana	ana	ADP	PRP	_	78	case	_	_
77	78	Aššur-ahu-iddina	aššur-ahu-iddina	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	81	iobj	_	_
78	79	šar	šarru	NOUN	N	Case=Gen|Focus=No|Gender=Masc|NounBase=Bound|Number=Sing	78	appos	_	_
79	80	Mat-Aššur	mat-aššur	PROPN	GN	Case=Gen|Gender=Fem|Number=Sing	79	nmod:poss	_	_
80	81	addan	tadānu	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|VerbStem=G	_	_	_	_
81	82	nakrūtīšu	nakru	NOUN	N	Case=Acc|Gender=Masc|Number=Plur|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	_	_	_	_
82	83	ina	ina	ADP	PRP	_	84	case	_	_
83	84	libbi	libbu	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
84	85	x+x	x+x	X	X	_	_	_	_	_
85	86	x	x	X	X	_	_	_	_	_
86	87	x	x	X	X	_	_	_	_	_
87	88	x	x	X	X	_	_	_	_	_
88	89	x	x	X	X	_	_	_	_	_
89	90	x	x	X	X	_	_	_	_	_
90	91	x	x	X	X	_	_	_	_	_
91	92	x	x	X	X	_	_	_	_	_
92	93	x	x	X	X	_	_	_	_	_
93	94	x	x	X	X	_	_	_	_	_
94	95	u₂-ba-x	u₂-ba-x	X	X	_	_	_	_	_
95	96	x	x	X	X	_	_	_	_	_
96	97	x	x	X	X	_	_	_	_	_
97	98	x	x	X	X	_	_	_	_	_
98	99	x	x	X	X	_	_	_	_	_
99	100	x	x	X	X	_	_	_	_	_
100	101	x	x	X	X	_	_	_	_	_
101	102	x	x	X	X	_	_	_	_	_
102	103	x	x	X	X	_	_	_	_	_
103	104	x	x	X	X	_	_	_	_	_
104	105	nakru	nakru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	_	_	_	_
105	106	ša	ša	ADP	PRP	_	_	_	_	_
106	107	x	x	X	X	_	_	_	_	_
107	108	x	x	X	X	_	_	_	_	_
108	109	x	x	X	X	_	_	_	_	_
109	110	x	x	X	X	_	_	_	_	_
110	111	x	x	X	X	_	_	_	_	_
111	112	x	x	X	X	_	_	_	_	_
112	113	x	x	X	X	_	_	_	_	_
113	114	x	x	X	X	_	_	_	_	_
114	115	x	x	X	X	_	_	_	_	_
115	116	nakru	nakru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	_	_	_	_
116	117	ša	ša	ADP	PRP	_	_	_	_	_
117	118	lum	lum	X	X	_	_	_	_	_
118	119	x	x	X	X	_	_	_	_	_
119	120	x	x	X	X	_	_	_	_	_
120	121	ina	ina	ADP	PRP	_	122	case	_	_
121	122	pān	pānu	NOUN	N	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	124	obl	_	_
122	123	šēpēšu	šēpu	NOUN	N	Case=Gen|Gender=Masc|Number=Plur|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	122	nmod	_	_
123	124	nikrur	karāru	VERB	V	Gender=Com|Mood=Ind|Number=Plur|Person=1|Subordinative=No|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
124	125	ni-il-x	ni-il-x	X	X	_	_	_	_	_
125	126	x	x	X	X	_	_	_	_	_
126	127	x	x	X	X	_	_	_	_	_
127	128	x	x	X	X	_	_	_	_	_
128	129	x	x	X	X	_	_	_	_	_
129	130	x	x	X	X	_	_	_	_	_
130	131	Mullissu	mullissu	PROPN	DN	Case=Acc|Gender=Fem|Number=Sing	132	obj	_	_
131	132	dulla	dalālu	VERB	V	Gender=Masc|Number=Plur|Person=2|Mood=Imp|VerbStem=G	_	_	_	_
132	133	x	x	X	X	_	_	_	_	_
133	134	x	x	X	X	_	_	_	_	_
134	135	x	x	X	X	_	_	_	_	_
135	136	x	x	X	X	_	_	_	_	_
136	137	x	x	X	X	_	_	_	_	_
137	138	x	x	X	X	_	_	_	_	_
138	139	ša	ša	ADP	PRP	_	140	case	_	_
139	140	Šamaš	šamaš	PROPN	DN	Case=Nom|Focus=No|Gender=Masc|NounBase=Free|Number=Sing	_	_	_	_
140	141	šina	šina	PRON	IP	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	140	cop	_	_
141	142	adi	adi	ADP	PRP	_	143	case	_	_
142	143	abūwa	abu	NOUN	N	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Com|PossSuffNum=Sing|PossSuffPer=1	_	_	_	_
143	144	u₂-za-x	u₂-za-x	X	X	_	_	_	_	_
144	145	x	x	X	X	_	_	_	_	_
145	146	x	x	X	X	_	_	_	_	_
146	147	x	x	X	X	_	_	_	_	_
147	148	x	x	X	X	_	_	_	_	_
148	149	x	x	X	X	_	_	_	_	_
